replicate,candidate,computational_branch,baseline_candidate_nll,existing_candidate_nll,newborn_candidate_nll,baseline_arithmetic_nll,existing_arithmetic_nll,existing_candidate_gain,arithmetic_damage,existing_value,newborn_candidate_gain,newborn_value,independence_advantage,absorption_ratio,qualifies
0,TRANSFORM,0,6.7184639275074005,6.478957802057266,6.479144811630249,6.703480750322342,6.714423060417175,0.0356489411916799,0.0016323325899469,0.0340166086017329,0.0356211060235521,0.0306211060235521,-0.0033955025781808,1.1108876529661988,False
0,PARITY,0,6.614891201257706,6.35018327832222,6.350273877382278,6.703480750322342,6.724414139986038,0.0400169730509182,0.003122764194212,0.0368942088567062,0.0400032768226202,0.0350032768226202,-0.0018909320340859,1.0540215718564934,False
0,MODSUM,0,6.642271369695664,6.485618203878403,6.485612273216248,6.703480750322342,6.708412021398544,0.0235842766876352,0.0007356284383997,0.0228486482492355,0.0235851695542203,0.0185851695542203,-0.0042634786950151,1.2294021952598753,False
0,SORT,0,6.5334475338459015,6.296970039606094,6.297097563743591,6.703480750322342,6.694627940654755,0.0361949021576676,0.0,0.0361949021576676,0.03617538349821,0.03117538349821,-0.0050195186594575,1.1610090429118782,False
0,ROTATE,0,6.569654226303101,6.323825359344482,6.324126690626144,6.703480750322342,6.683110982179642,0.0374188440503286,0.0,0.0374188440503286,0.0373729769055319,0.0323729769055319,-0.0050458671447966,1.1558666402388973,False
0,DELAY_COPY,0,6.714284241199493,6.370551735162735,6.3711079359054565,6.703480750322342,6.718657553195953,0.0511942142585478,0.0022640182673578,0.04893019599119,0.051111375831883,0.046111375831883,-0.002818820159307,1.0611306886522778,False
0,STATE_MACHINE,0,6.576218128204346,6.301641792058945,6.301599740982056,6.703480750322342,6.733662664890289,0.0417529240655487,0.0045024242915139,0.0372504997740347,0.0417593184819244,0.0367593184819244,-0.0004911812921103,1.013362089189763,False
1,TRANSFORM,0,6.751086294651032,6.566199332475662,6.566302329301834,6.703327983617783,6.787920624017716,0.0273862537236203,0.0126194989424161,0.0147667547812042,0.0273709973897984,0.0223709973897984,0.0076042426085941,0.660084775117723,False
1,PARITY,0,6.571863114833832,6.3752637803554535,6.375346153974533,6.703327983617783,6.793064385652542,0.0299153118443108,0.0133868434088359,0.0165284684354748,0.0299027775572083,0.0249027775572083,0.0083743091217334,0.6637198761264501,False
1,MODSUM,0,6.651112675666809,6.553707838058472,6.553705990314484,6.703327983617783,6.760740727186203,0.014644893622791,0.0085648119424755,0.0060800816803154,0.0146451714325467,0.0096451714325467,0.0035650897522313,0.6303756986421956,False
1,SORT,0,6.562363654375076,6.402174443006516,6.40233713388443,6.703327983617783,6.762754440307617,0.02441029174934,0.0088652169243495,0.0155450748249904,0.0243855002433396,0.0193855002433396,0.0038404254183491,0.8018918588562788,False
1,ROTATE,0,6.604800522327423,6.412469625473023,6.4127377569675446,6.703327983617783,6.773350715637207,0.02911986459004,0.0104459653757883,0.0186738992142517,0.0290792681339297,0.0240792681339297,0.005405368919678,0.775517723810659,False
1,DELAY_COPY,0,6.687274903059006,6.410272240638733,6.410807907581329,6.703327983617783,6.803941965103149,0.0414223531162987,0.0150095567054538,0.0264127964108449,0.0413422506903686,0.0363422506903686,0.0099294542795237,0.7267793245905034,False
1,STATE_MACHINE,0,6.57725664973259,6.343988627195358,6.344006985425949,6.703327983617783,6.809461742639542,0.035465853768488,0.015832995085596,0.0196328586828919,0.0354630626001379,0.0304630626001379,0.010830203917246,0.6444807910680332,False
2,TRANSFORM,0,6.919656425714493,6.636803269386292,6.636876553297043,6.740790158510208,6.760544389486313,0.0408767630827848,0.0029305512427449,0.0379462118400399,0.0408661723964497,0.0358661723964497,-0.0020800394435901,1.0579944639923735,False
2,PARITY,0,6.820582062005997,6.518699198961258,6.51881754398346,6.740790158510208,6.777568221092224,0.0442605719424409,0.0054560462078149,0.038804525734626,0.0442432207807474,0.0392432207807474,0.0004386950461214,0.9888211253461464,False
2,MODSUM,0,6.74570569396019,6.582270622253418,6.582384139299393,6.740790158510208,6.726555526256561,0.0242280169223961,0.0,0.0242280169223961,0.0242111888763584,0.0192111888763584,-0.0050168280460376,1.261140946472681,False
2,SORT,0,6.7862957417964935,6.505889028310776,6.505993694067001,6.740790158510208,6.735191822052002,0.0413195540180639,0.0,0.0413195540180639,0.0413041309124098,0.0363041309124098,-0.005015423105654,1.1381502043873375,False
2,ROTATE,0,6.849782437086105,6.518236398696899,6.51831790804863,6.740790158510208,6.743554592132568,0.0484024188263482,0.0004101052780689,0.0479923135482792,0.0483905192729713,0.0433905192729713,-0.0046017942753079,1.106055293930868,False
2,DELAY_COPY,0,6.968470603227615,6.534411430358887,6.5345465540885925,6.740790158510208,6.792343497276306,0.062289015421502,0.0076479667151501,0.0546410487063518,0.0622696246918284,0.0572696246918284,0.0026285759854765,0.9541017424224256,False
2,STATE_MACHINE,0,6.788369834423065,6.448539942502976,6.448652178049088,6.740790158510208,6.797789096832275,0.0500606036808499,0.0084558244629684,0.0416047792178815,0.0500440701759216,0.0450440701759216,0.0034392909580401,0.923646088272932,False
