replicate,stage,candidate,window,incumbent_prequential_nll,capacity_prequential_nll,geometry_prequential_nll,capacity_net_utility,geometry_net_utility,geometry_advantage
0,C_WEAK_SELECTED,STATE_MACHINE,0,6.13848902285099,6.13804741948843,6.138683199882507,-0.0049280599246954,-0.0050316327081133,-0.0001035727834179
0,C_WEAK_SELECTED,STATE_MACHINE,1,6.12870454788208,6.129086993634701,6.103942677378655,-0.0050624023804105,-0.0009596893095486,0.0041027130708618
0,C_WEAK_SELECTED,STATE_MACHINE,2,6.03535421192646,6.035555347800255,6.035752005875111,-0.0050333262749346,-0.00506591062176,-3.258434682544206e-05
0,C_WEAK_SELECTED,STATE_MACHINE,3,6.33353927731514,6.333619050681591,6.30419022589922,-0.0050125953851327,-0.0003660899331531,0.0046465054519795
0,D_STRONG_SELECTED,STATE_MACHINE,0,6.262076400220394,6.262169234454632,6.262076400220394,-0.0050148248325801,-0.005,1.4824832580196711e-05
0,D_STRONG_SELECTED,STATE_MACHINE,1,6.330945611000061,6.331085428595543,6.362114831805229,-0.0050220847886039,-0.009923312048521,-0.0049012272599171
0,D_STRONG_SELECTED,STATE_MACHINE,2,6.251631081104279,6.251706473529339,6.250741556286812,-0.0050120596407692,-0.0048577131622249,0.0001543464785443
0,D_STRONG_SELECTED,STATE_MACHINE,3,6.2583576664328575,6.258422903716564,6.258230462670326,-0.0050104240261077,-0.0049796745776909,3.0749448416813284e-05
1,C_WEAK_SELECTED,STATE_MACHINE,0,6.140460222959518,6.1398365795612335,6.098696082830429,-0.0048984370266005,0.0018014674165514,0.0066999044431519
1,C_WEAK_SELECTED,STATE_MACHINE,1,6.147281862795353,6.147027306258678,6.102530851960182,-0.0049585903912727,0.0022798046086048,0.0072383949998776
1,C_WEAK_SELECTED,STATE_MACHINE,2,6.240834653377533,6.240937925875187,6.21208393573761,-0.0050165478663335,-0.0003931294070796,0.0046234184592538
1,C_WEAK_SELECTED,STATE_MACHINE,3,6.215210035443306,6.2152372524142265,6.215216398239136,-0.0050043790910951,-0.0050010237459061,3.355345188958171e-06
1,D_STRONG_SELECTED,STATE_MACHINE,0,6.345414094626904,6.345395147800446,6.319095760583878,-0.004997014091409,-0.0008523851003969,0.0041446289910121
1,D_STRONG_SELECTED,STATE_MACHINE,1,6.287822164595127,6.287972554564476,6.276095397770405,-0.0050239176562905,-0.0031350034212557,0.0018889142350348
1,D_STRONG_SELECTED,STATE_MACHINE,2,6.259795121848583,6.259768418967724,6.230565845966339,-0.004995734224469,-0.0003306337806128,0.0046651004438562
1,D_STRONG_SELECTED,STATE_MACHINE,3,6.276181481778622,6.276302106678486,6.262782849371433,-0.0050192194728935,-0.002865161731526,0.0021540577413675
2,C_WEAK_SELECTED,STATE_MACHINE,0,6.323745436966419,6.324559271335602,6.198890641331673,-0.0051286949921205,0.0147438048193541,0.0198724998114747
2,C_WEAK_SELECTED,STATE_MACHINE,1,6.278873607516289,6.278967775404453,6.15337797999382,-0.0050149975766436,0.0149869650779784,0.020001962654622
2,C_WEAK_SELECTED,STATE_MACHINE,2,6.163405247032642,6.163454316556454,6.030522152781487,-0.0050079614307099,0.0165600125133962,0.0215679739441061
2,C_WEAK_SELECTED,STATE_MACHINE,3,6.382191799581051,6.382291212677956,6.264526449143887,-0.0050155766388768,0.0134365111755005,0.0184520878143774
