rank,stage,expert_id,usage,gradient_disagreement,pressure,routed_samples,eligible
1,1,s1-e1,0.10016666666666667,0.6263421773910522,0.1629052747686704,9616,yes
2,2,s2-e2,0.09439583333333333,0.6357841491699219,0.15441120791435242,9062,yes
3,0,s0-e2,0.09529166666666666,0.6181384325027466,0.15419510813057422,9148,yes
4,1,s1-e0,0.09551041666666667,0.6109706163406372,0.15386447480445106,9169,yes
5,0,s0-e3,0.09458333333333334,0.5957639217376709,0.1509326709310214,9080,yes
6,2,s2-e3,0.08377083333333334,0.6307190656661987,0.1366066950634122,8042,yes
7,2,s2-e0,0.08196875,0.6553095579147339,0.13568365532532337,7869,yes
8,1,s1-e3,0.07521875,0.632688045501709,0.12280875392258167,7221,yes
9,0,s0-e1,0.07542708333333334,0.6169738173484802,0.12196361886896194,7241,yes
10,2,s2-e1,0.07319791666666667,0.6174878478050232,0.1183967406929781,7027,yes
11,0,s0-e0,0.06803125,0.5911628007888794,0.10824879429116846,6531,yes
12,1,s1-e2,0.0624375,0.593885064125061,0.0995181986913085,5994,yes
