replicate,arm,tokens,phase,ppl,nll,fixed4_ppl,clm01_start_ppl,textnca_frozen_ppl,ppl_vs_fixed4,ppl_vs_clm01,ppl_vs_textnca,health
2,random_growth,100000,pre_birth_1,17.288852863645445,2.850061950683594,,15.599153887514007,16.238355017830777,,1.1083199119847085,1.0646923807652409,RED
2,random_growth,200000,pre_birth_1,17.506491891085066,2.86257177734375,,15.599153887514007,16.238355017830777,,1.1222718884193934,1.0780951563050438,RED
2,random_growth,300000,pre_birth_1,17.073220262660822,2.837511169433594,,15.599153887514007,16.238355017830777,,1.0944965596067808,1.0514131661682053,YELLOW
2,random_growth,400000,pre_birth_1,16.894062337842715,2.8269622192382813,,15.599153887514007,16.238355017830777,,1.0830114543177365,1.0403801566902515,YELLOW
2,random_growth,500000,post_birth_1,16.576419959851282,2.807981201171875,,15.599153887514007,16.238355017830777,,1.0626486589839663,1.0208189155643714,YELLOW
2,random_growth,600000,post_birth_1,16.45454022137938,2.8006014404296873,,15.599153887514007,16.238355017830777,,1.0548354314620902,1.0133132452955498,YELLOW
2,random_growth,700000,post_birth_1,16.161985752528928,2.7826619262695313,,15.599153887514007,16.238355017830777,,1.036080922662442,0.9952969826550786,YELLOW
2,random_growth,800000,post_birth_1,16.065219845860696,2.776656677246094,,15.599153887514007,16.238355017830777,,1.029877643473967,0.989337887256439,GREEN
2,random_growth,900000,post_birth_1,15.88092127982139,2.7651184692382813,,15.599153887514007,16.238355017830777,,1.0180629920275943,0.9779883037649503,GREEN
2,random_growth,1000000,post_birth_2,15.820291623135024,2.761293395996094,,15.599153887514007,16.238355017830777,,1.0141762647651051,0.9742545723235702,GREEN
2,random_growth,1100000,post_birth_2,15.704936625201745,2.75397509765625,,15.599153887514007,16.238355017830777,,1.0067813125282654,0.9671507124925336,GREEN
2,random_growth,1200000,post_birth_2,15.921699422495161,2.767682922363281,,15.599153887514007,16.238355017830777,,1.0206771173171982,0.9804995275083032,GREEN
2,random_growth,1300000,post_birth_2,15.252841416720662,2.724765808105469,,15.599153887514007,16.238355017830777,,0.9777992785191675,0.9393095174955864,GREEN
2,random_growth,1400000,post_birth_2,15.367365765260605,2.732246154785156,,15.599153887514007,16.238355017830777,,0.985140981111871,0.9463622237835194,GREEN
2,random_growth,1500000,complete,14.980758358827144,2.7067666015625,,15.599153887514007,16.238355017830777,,0.9603571108313866,0.9225539374140601,GREEN
