rank,stage,expert_id,usage,gradient_disagreement,pressure,routed_samples,eligible
1,1,s1-e0,0.1024375,0.6258740425109863,0.16655047222971917,9834,yes
2,2,s2-e0,0.09240625,0.648040771484375,0.152289267539978,8871,yes
3,2,s2-e1,0.09001041666666666,0.6365612149238586,0.14730755685580274,8641,yes
4,0,s0-e1,0.08986458333333333,0.6167538166046143,0.14528890808175007,8627,yes
5,2,s2-e2,0.08566666666666667,0.6542361378669739,0.1417128958106041,8224,yes
6,1,s1-e1,0.08207291666666666,0.6097866296768188,0.13211988390857973,7879,yes
7,1,s1-e3,0.07697916666666667,0.6257615685462952,0.1251497707453867,7390,yes
8,0,s0-e2,0.07608333333333334,0.6258215308189392,0.12369792146980763,7304,yes
9,1,s1-e2,0.07184375,0.641083300113678,0.11790157834254204,6897,yes
10,0,s0-e0,0.07205208333333334,0.618064284324646,0.11658490265284976,6917,yes
11,2,s2-e3,0.06525,0.6407677531242371,0.10706009589135647,6264,yes
12,0,s0-e4,0.050166666666666665,0.6418302059173584,0.0823651486635208,4816,yes
13,0,s0-e3,0.04516666666666667,0.6218715906143188,0.0732545335094134,4336,yes
