rank,stage,expert_id,usage,gradient_disagreement,legacy_pressure,fisher_per_route,weight_grad_saliency,geometry_separation,marginal_score,routed_samples,eligible
1,0,s0-e3,0.07858333333333334,0.6794029474258423,0.13197308161854746,0.9338878576952642,1.391048010977494e-05,0.3292681574821472,0.002395526778027437,15088,yes
2,0,s0-e2,0.077828125,0.7082693576812744,0.13295140110328793,0.7920468444508739,1.25320965671704e-05,0.3238426595926285,0.002085420682612612,14943,yes
3,2,s2-e1,0.09078125,0.6971944570541382,0.15407343430444598,0.7597334354734385,1.3049917499365592e-05,0.24138972163200378,0.001954396393552155,17430,yes
4,0,s0-e1,0.0935625,0.6770002245903015,0.1569043335132301,0.7091520513999217,1.2791101784673509e-05,0.2861568480730057,0.0019368125831001086,17964,yes
5,2,s2-e3,0.07800520833333334,0.7362993955612183,0.13544039607979358,0.7403129034996151,1.1907114911288257e-05,0.22823265194892883,0.0018233144550435128,14977,yes
6,2,s2-e0,0.07974479166666666,0.7045015096664429,0.1359251177838693,0.6823690564987033,1.1630271130968207e-05,0.256997287273407,0.0017705529804784084,15311,yes
7,0,s0-e0,0.083359375,0.6408043503761292,0.13677642514463514,0.6456736275893937,1.1506603628869565e-05,0.24239566922187805,0.0016932069162747423,16005,yes
8,1,s1-e3,0.084375,0.7228987216949463,0.14536957964301112,0.4700117198161832,9.983097504937973e-06,0.31687378883361816,0.001426268064128945,16200,yes
9,2,s2-e2,0.08480208333333333,0.723860502243042,0.1461869619662563,0.5254005263560092,1.0485362456878881e-05,0.2148321568965912,0.0014256839460044662,16282,yes
10,1,s1-e1,0.08891145833333333,0.715621829032898,0.15253843876781562,0.39785233712975276,9.305800925625302e-06,0.28158609569072723,0.001232978849961069,17071,yes
11,1,s1-e0,0.096046875,0.6825512647628784,0.16160379100777209,0.3841819917427551,9.484737601299496e-06,0.21398890018463135,0.0011586863275646155,18441,yes
12,1,s1-e2,0.064,0.7197818756103516,0.11006604003906251,0.3045027206383111,6.79149565737547e-06,0.316692516207695,0.000946744244852503,12288,yes
