rank,stage,expert_id,usage,routed_samples,cluster0_samples,cluster1_samples,pi0,pi1,geometry_separation,adam_metric_disagreement,split_regret,eligible
1,1,s1-e3,0.060432291666666665,11603,5925,5678,0.5106437990174955,0.48935620098250454,0.32902589440345764,7.004445645879248e-12,1.0577572030828797e-13,yes
2,2,s2-e3,0.09073958333333333,17422,6544,10878,0.37561703593158074,0.6243829640684192,0.25232967734336853,2.959084372180401e-12,6.297243044444078e-14,yes
3,2,s2-e0,0.08516145833333333,16351,5630,10721,0.3443214482294661,0.6556785517705339,0.3260306417942047,3.0242109170116012e-12,5.81447115582935e-14,yes
4,2,s2-e2,0.09070833333333334,17416,11463,5953,0.6581878732200276,0.3418121267799724,0.2616085410118103,2.146124195917099e-12,4.379649757193748e-14,yes
5,2,s2-e1,0.06672395833333333,12811,7578,5233,0.5915229099992194,0.4084770900007806,0.20770561695098877,2.548682559576361e-12,4.109006449212174e-14,yes
6,0,s0-e0,0.07602604166666667,14597,5551,9046,0.38028361992190174,0.6197163800780983,0.3273502588272095,2.135600460507816e-12,3.8263349076329477e-14,yes
7,0,s0-e3,0.10009895833333333,19219,9559,9660,0.49737239190384513,0.5026276080961548,0.3775124102830887,1.2790534161280447e-12,3.200709467791711e-14,yes
8,1,s1-e1,0.095109375,18261,11161,7100,0.6111932533815234,0.38880674661847653,0.29410673677921295,1.3213354253460855e-12,2.986405318604836e-14,yes
9,0,s0-e1,0.07222395833333334,13867,9064,4803,0.6536381336987092,0.34636186630129084,0.30937638878822327,1.3562913288236038e-12,2.2176945256427007e-14,yes
10,1,s1-e0,0.10003125,19206,13447,5759,0.7001457877746537,0.29985421222534625,0.2814970016479492,9.078596754745177e-13,1.9065713235803462e-14,yes
11,1,s1-e2,0.07776041666666667,14930,4444,10486,0.29765572672471535,0.7023442732752847,0.33922749757766724,1.100894139531474e-12,1.789651328038923e-14,yes
12,0,s0-e2,0.084984375,16317,7193,9124,0.4408285836857265,0.5591714163142735,0.28756967186927795,7.096545736204601e-13,1.4866228395367996e-14,yes
