replicate,method,block,tokens,loss,ce,kl,balance,elapsed_seconds,validation_nll,validation_ppl,usage_entropy,router_logit_variance,program_usage,expert_pairwise_cosine,expert_pairwise_relative_l2
0,dense_continued,1,250000,3.09233832359314,3.077498197555542,0.0296803321689367,0.0,14.22306744499997,2.93012668689092,18.73000319224638,,,,,
0,dense_continued,2,500000,3.206393957138061,3.196279764175415,0.0202282462269067,0.0,13.845891461000008,2.9146082202593484,18.44158594749026,,,,,
0,dense_continued,3,750000,3.1307592391967773,3.124709367752075,0.0120995063334703,0.0,13.920731606999992,2.8989415168762207,18.15491852072297,,,,,
0,dense_continued,4,1000000,2.988976001739502,2.983997106552124,0.0099578239023685,0.0,13.860057536999989,2.89265642563502,18.04117103245581,,,,,
0,copy_random,1,250000,3.094893217086792,3.076504945755005,0.0367764718830585,8.572883416491095e-06,28.445957814,2.92600154876709,18.65289848514134,0.992971420288086,0.101220216602087,"[0.3054673969745636, 0.21832275390625, 0.2382270097732544, 0.2379828542470932]",0.9987495475345188,0.0499769320918454
0,copy_random,2,500000,3.209084272384644,3.195356845855713,0.0274189468473196,0.0017956420779228,29.01952927299999,2.9054068326950078,18.27267606228037,0.992577130595843,0.096542219320933,"[0.304911345243454, 0.21240234375, 0.2397935539484024, 0.2428928017616272]",0.9981248246298896,0.0611873269081115
0,copy_random,3,750000,3.125441551208496,3.116551160812378,0.0177572723478078,0.0011640798766165,28.94279348399993,2.885534485181173,17.913139344841223,0.9918578962484996,0.0954184811562299,"[0.30963134765625, 0.2134399563074112, 0.2344021201133728, 0.2425265908241272]",0.997893856631385,0.0648309166232744
0,copy_random,4,1000000,2.975517749786377,2.9677700996398926,0.0154813639819622,0.0006845378084108,28.947506384000008,2.8770715594291687,17.762181450287123,0.992283304532369,0.0959730129688978,"[0.3069865107536316, 0.2124023586511612, 0.2357516884803772, 0.2448594719171524]",0.9978358381324344,0.0657133491088946
0,copy_geometry,1,250000,3.0936803817749023,3.0750732421875,0.0371974259614944,0.0008409203146584,29.15371180900001,2.927357296148936,18.67820425366501,0.9951191494862238,0.4873733893036842,"[0.2353583425283432, 0.2196655124425888, 0.2519802749156952, 0.2929958999156952]",0.9988935887813568,0.0470155374043517
0,copy_geometry,2,500000,3.19888687133789,3.184856414794922,0.0280474368482828,0.0006559097091667,29.18258121999997,2.9053964416186013,18.272486190493755,0.9955070118109384,0.4599261830250422,"[0.2372639924287796, 0.2213134616613388, 0.2495862990617752, 0.2918362319469452]",0.9982476168208652,0.0591630925320916
0,copy_geometry,3,750000,3.124009132385254,3.115391731262207,0.0172100104391574,0.0012370310723781,28.882216090000043,2.884896735350291,17.901718885338624,0.9955282857020696,0.4568746984004974,"[0.2347683310508728, 0.2216457724571228, 0.2526991069316864, 0.290886789560318]",0.9979750480916764,0.0635892343189981
0,copy_geometry,4,1000000,2.9770426750183105,2.969635248184204,0.0147938160225749,0.0010605379939079,28.871648714999992,2.8774697184562683,17.769255031284153,0.995436266064644,0.4548975204428037,"[0.2332967072725296, 0.2225341945886612, 0.2523532211780548, 0.2918158769607544]",0.9978966348701052,0.064803203774823
1,dense_continued,1,250000,2.85395622253418,2.8416221141815186,0.0246680509299039,0.0,13.890739235000012,2.9307093620300293,18.74091987959424,,,,,
1,dense_continued,2,500000,2.7839818000793457,2.7739813327789307,0.0200008619576692,0.0,13.057047073000035,2.907317280769348,18.307618428236733,,,,,
1,dense_continued,3,750000,2.979854106903076,2.97316837310791,0.013371524401009,0.0,13.458780072999955,2.894428332646688,18.07316664816357,,,,,
1,dense_continued,4,1000000,2.9731922149658203,2.968880414962769,0.0086238179355859,0.0,13.15012840899999,2.890166064103445,17.996297892494358,,,,,
1,copy_random,1,250000,2.8506879806518555,2.8348538875579834,0.0316490940749645,0.0009516146965324,27.20799483900004,2.927586873372396,18.68249283619839,0.991492822766304,0.0973391514271497,"[0.217007115483284, 0.2197265774011612, 0.3027615249156952, 0.2605048418045044]",0.9987475110424888,0.0500316818555196
1,copy_random,2,500000,2.7782998085021973,2.764662027359009,0.0272559411823749,0.0009672050364315,27.47448571999996,2.897958596547445,18.137082449396225,0.9950774312019348,0.0909981771061817,"[0.237996444106102, 0.220553919672966, 0.2867431640625, 0.254706472158432]",0.9981105162037744,0.0614475520948568
1,copy_random,3,750000,2.973488569259644,2.964105129241944,0.0187328401952981,0.0016810307279229,27.70300385400003,2.882975916067759,17.867365921992644,0.9954872181018194,0.0902093735833962,"[0.2280205637216568, 0.2274576872587204, 0.27972412109375, 0.2647976577281952]",0.997902144988378,0.0647430430269903
1,copy_random,4,1000000,2.9670212268829346,2.960029125213623,0.0139466151595115,0.0018789272289723,27.262024171000007,2.8769477804501853,17.75998300166636,0.9952814479668936,0.0907896154870589,"[0.2334662526845932, 0.2235107421875, 0.2843221127986908, 0.2587009370326996]",0.9978514015674592,0.0655212799708048
1,copy_geometry,1,250000,2.859084129333496,2.8425369262695312,0.0330709926784038,0.0011665417114272,27.84994240100002,2.9320874214172363,18.766763783286347,0.9940207302570344,0.5071774671475092,"[0.2331000566482544, 0.2199571281671524, 0.244357630610466, 0.3025851845741272]",0.9988845917913648,0.0472073631568087
1,copy_geometry,2,500000,2.776122093200684,2.762387275695801,0.0274609383195638,0.0004185726866126,27.850043263999964,2.9001627961794534,18.177104291718123,0.994478553533554,0.4693145031730334,"[0.2346259206533432, 0.21893310546875, 0.2471720427274704, 0.2992689311504364]",0.9982565343379974,0.0590064624945322
1,copy_geometry,3,750000,2.9686644077301025,2.9590718746185303,0.0191794205456972,0.0002889028401114,27.036088456000016,2.882256507873535,17.8545166150417,0.9946148445208868,0.4701251586278279,"[0.2341986447572708, 0.2211371660232544, 0.2449137419462204, 0.2997504770755768]",0.9979812138610415,0.0634772183580531
1,copy_geometry,4,1000000,2.960980176925659,2.954529285430908,0.0128832915797829,0.0009299202938564,27.823541967000097,2.874987085660299,17.72519521079131,0.994404266277949,0.4684495056668917,"[0.2337239533662796, 0.2191162109375, 0.2473009079694748, 0.299858957529068]",0.9978991680675082,0.064749250602391
2,dense_continued,1,250000,3.1747334003448486,3.161759376525879,0.0259481482207775,0.0,12.77565512600006,2.927285353342692,18.67686053957127,,,,,
2,dense_continued,2,500000,2.9808077812194824,2.97059965133667,0.0204161722213029,0.0,12.636015932999952,2.911758601665497,18.38910926604841,,,,,
2,dense_continued,3,750000,3.3047666549682617,3.2978832721710205,0.013766604475677,0.0,12.567380822000018,2.8973750670750937,18.12650201454255,,,,,
2,dense_continued,4,1000000,2.9349403381347656,2.9305899143218994,0.0087008057162165,0.0,12.570384439999998,2.8905885020891824,18.003901818307273,,,,,
2,copy_random,1,250000,3.17633318901062,3.1600236892700195,0.0325729101896286,0.0023227012716233,25.91188984100006,2.924572845300039,18.62626805243066,0.9871551245450974,0.101438325519363,"[0.1766221970319748, 0.2601115107536316, 0.2924940288066864, 0.2707723081111908]",0.998744507630666,0.0501008586337169
2,copy_random,2,500000,2.978583335876465,2.9649369716644287,0.027261272072792,0.0015815730439499,25.674585114000024,2.9040807684262595,18.248461378121853,0.990220382809639,0.0947964390118916,"[0.1840616911649704, 0.2724609673023224, 0.2770589292049408, 0.26641845703125]",0.99812180797259,0.0612593945115804
2,copy_random,3,750000,3.298729419708252,3.288472890853882,0.020488591864705,0.0012120447354391,25.76512548300002,2.88684352238973,17.93660366524927,0.9910134275754292,0.0930452421307563,"[0.1880357712507248, 0.2710299789905548, 0.2790730893611908, 0.2618611752986908]",0.997892912891176,0.0648792085962163
2,copy_random,4,1000000,2.9256134033203125,2.9187004566192627,0.0137968333438038,0.0014464096166193,25.51739920399996,2.877702832221985,17.773397772084667,0.9905788997809092,0.0940504862616459,"[0.185567244887352, 0.2695923149585724, 0.2751668393611908, 0.2696736752986908]",0.9978402025169796,0.0656828803734646
