seed,transactions,true_factors,cells,tracking_error,K_over_N,pair_mse,triple_mse,pair_route_recall,triple_route_recall,key_cosine,effect_cosine
90411,256,9,9,0,0.03515625,3.3535277160213816e-06,2.2930823206144995e-06,1.0,1.0,0.9994738536039834,0.9999128366673448
90411,512,12,12,0,0.0234375,7.7356029542753e-06,3.672388992011795e-06,1.0,1.0,0.9989417427323399,0.9997692443405034
90411,1024,16,16,0,0.015625,6.278770877961447e-06,6.461047553278232e-06,1.0,1.0,0.99854659950081,0.9997424848457523
90411,2048,21,21,0,0.01025390625,9.183321026924473e-06,7.2211689842081996e-06,1.0,1.0,0.9981566073082768,0.999703779895072
90411,4096,30,30,0,0.00732421875,1.004020191042554e-05,8.76657921940781e-06,1.0,1.0,0.9979627294013227,0.9996670629971605
90412,256,9,9,0,0.03515625,2.452001175677497e-06,1.7099394931180873e-06,1.0,1.0,0.9994878054076752,0.9999347647044932
90412,512,12,12,0,0.0234375,3.0172154871434104e-06,2.1597668430457997e-06,1.0,1.0,0.99931952077144,0.99992605377354
90412,1024,16,16,0,0.015625,3.937501038257534e-06,2.69476424911498e-06,1.0,1.0,0.9989562384097153,0.9998908978761544
90412,2048,21,21,0,0.01025390625,4.642677117034604e-06,2.8896822392403487e-06,1.0,1.0,0.9989068641783062,0.9998849176438058
90412,4096,30,30,0,0.00732421875,5.17223944244822e-06,4.12972484634933e-06,1.0,1.0,0.9987040720645834,0.999820625049774
90413,256,9,9,0,0.03515625,1.571846377189458e-06,1.3217872125723842e-06,1.0,1.0,0.999645427313047,0.999955467112357
90413,512,12,12,0,0.0234375,2.0466918356498025e-06,2.230433335149878e-06,1.0,1.0,0.999350402247507,0.999928285063794
90413,1024,16,16,0,0.015625,5.532063964501274e-06,4.0681352479447404e-06,1.0,1.0,0.9988702063275875,0.9998684654638141
90413,2048,21,21,0,0.01025390625,5.562191137527451e-06,3.3811177091974386e-06,1.0,1.0,0.9987849707165184,0.9998400071855649
90413,4096,30,30,0,0.00732421875,7.645909080729442e-06,5.351162224049197e-06,1.0,1.0,0.9984000786148126,0.9998088538699893
