seed,variant,final_cells,child_count,acquisition_gain,accepted_acquisition,rejected_acquisition,growth_rescues,final_historical_regression_mse,cumulative_positive_historical_regression,replay_accesses,exact_mode_route_accuracy,tail_child_route_accuracy,tail_spawns,final_behavior_mse,compression
90511,unsafe,12,0,72.0,72,0,0,0.43750000000000006,1.821727886199498,0,1.0,0.0,0,0.4375,66.0
90511,certificate_no_growth,12,0,24.0,24,48,0,0.0,0.0,0,1.0,0.0,0,0.5,66.0
90511,certificate_growth,36,24,72.0,72,0,24,0.0,0.0,0,1.0,1.0,0,3.392562887147449e-32,22.0
90511,replay_growth_oracle,36,24,72.0,72,0,24,0.0,0.0,84,1.0,1.0,0,3.392562887147449e-32,22.0
90512,unsafe,12,0,72.0,72,0,0,0.43750000000000006,1.8564501084217195,0,1.0,0.0,0,0.4375,66.0
90512,certificate_no_growth,12,0,24.0,24,48,0,0.0,0.0,0,1.0,0.0,0,0.5,66.0
90512,certificate_growth,36,24,72.0,72,0,24,0.0,0.0,0,1.0,1.0,0,2.8763605009318907e-32,22.0
90512,replay_growth_oracle,36,24,72.0,72,0,24,0.0,0.0,84,1.0,1.0,0,2.8763605009318907e-32,22.0
90513,unsafe,12,0,72.0,72,0,0,0.43750000000000006,1.8981167750883874,0,1.0,0.0,0,0.43750000000000006,66.0
90513,certificate_no_growth,12,0,24.0,24,48,0,0.0,0.0,0,1.0,0.0,0,0.5,66.0
90513,certificate_growth,36,24,72.0,72,0,24,0.0,0.0,0,1.0,1.0,0,3.3564081821444465e-32,22.0
90513,replay_growth_oracle,36,24,72.0,72,0,24,0.0,0.0,84,1.0,1.0,0,3.3564081821444465e-32,22.0
