seed,atom_count,atom_rank,count,max_active_atoms,mean_frobenius_residual,mean_local_action_residual,median_active_atoms,median_frobenius_residual,median_local_action_residual,partition,total_rank_units
80821,32,1,224,8,0.6406909015106911,0.6270577508489513,8.0,0.6388221023928207,0.6266985275001331,train,32
80821,32,1,56,8,0.7744468930456414,0.7670994255246887,8.0,0.787185827293774,0.7814827053468572,eval,32
80821,16,2,224,8,0.7459157534492006,0.7372267116899666,8.0,0.7511559395500206,0.7432644804589854,train,32
80821,16,2,56,8,0.8343132890591677,0.8291295773990346,8.0,0.8322396808765957,0.8279389857087228,eval,32
80821,8,4,224,8,0.8478089337870877,0.8431723654448596,8.0,0.8521643199426989,0.8481605447282365,train,32
80821,8,4,56,8,0.89066350897924,0.8873352575337262,8.0,0.9006447676828244,0.8976900840804838,eval,32
80821,4,8,224,4,0.9157542060534913,0.9134539550349096,4.0,0.9240414282908107,0.9216233427210352,train,32
80821,4,8,56,4,0.9390883001541795,0.9373085404281486,4.0,0.9482847824597876,0.946806292648066,eval,32
80822,32,1,224,8,0.6437318853923201,0.630898537856467,8.0,0.6388136126804682,0.6265205846551107,train,32
80822,32,1,56,8,0.771404239326737,0.7638280787709865,8.0,0.7752495982901118,0.7708461372589928,eval,32
80822,16,2,224,8,0.7499866999797641,0.7418882189098082,8.0,0.7465855385730356,0.7394122478887758,train,32
80822,16,2,56,8,0.8311845928362812,0.8256967477119398,8.0,0.8285541634047009,0.8231416157975551,eval,32
80822,8,4,224,8,0.8506663571988202,0.8462789783712522,8.0,0.8546348933775533,0.8499101131767156,train,32
80822,8,4,56,8,0.89295273851016,0.8896984672125063,8.0,0.8994378362852316,0.8970119050272976,eval,32
80822,4,8,224,4,0.9185186664094884,0.9163471604520513,4.0,0.9265312968542775,0.9246599505910478,train,32
80822,4,8,56,4,0.9463755095690365,0.944818546978875,4.0,0.9557417937040802,0.9532989828905444,eval,32
