seed,count,dimension,mean_frobenius_residual,mean_local_action_residual,median_frobenius_residual,median_local_action_residual,partition
80821,224,1,0.9760989545663714,0.9754985329322449,0.9872936725991945,0.9869539357356651,train
80821,56,1,0.9800541056754134,0.9794193865141617,0.9893519906865076,0.9890345159902625,eval
80821,224,2,0.9549054550945532,0.9537891565106491,0.9652648174330534,0.9644358302621387,train
80821,56,2,0.9612546801883763,0.9600350704567219,0.9710701904255206,0.9703658636830589,eval
80821,224,4,0.915613096259215,0.9134124089301701,0.9238157381712686,0.9215885060978783,train
80821,56,4,0.9391810903929755,0.9373060369310958,0.9483490342772174,0.9467815223156959,eval
80821,224,8,0.8473910219790429,0.8430586730949364,0.8518471242273851,0.8481448149807177,train
80821,56,8,0.8909272662031685,0.8873367549372884,0.9008886515051948,0.8976856251401069,eval
80821,224,16,0.725677396538637,0.7170161701224637,0.7285093512170473,0.7182943061143171,train
80821,56,16,0.8177322657311722,0.8112436121411523,0.8199321541104383,0.8137642522690338,eval
80821,224,32,0.5155763345514389,0.4970521953437147,0.5153081220671243,0.4959729298968339,train
80821,56,32,0.6646549660048686,0.6501910228610288,0.6771259351784,0.6656859387721419,eval
