seed,mode,history_prompt_count,status,heldout_nll_gain,history_evaluation_mean_kl,history_evaluation_top1_identity,delta_l2_norm,expert_index,group_index,target_router_topk_identity
26090611,full_32,32,PASS,11.103600917384028,0.0025394039694219828,0.96875,0.43271717612417726,0,5,1.0
26090611,tiny_8,8,PASS,11.113226108485833,0.024877149611711502,0.96875,0.39743579438184434,19,14,1.0
26090611,tiny_2,2,FAIL,11.114656905469019,0.49442845582962036,0.65625,0.34384942513389816,31,15,1.0
26090611,zero_0,0,FAIL,11.114960986218648,1.9086594581604004,0.34375,0.22253969136504634,16,4,1.0
26090612,full_32,32,PASS,11.248344758991152,0.01054774783551693,1.0,0.4923578905927784,0,5,1.0
26090612,tiny_8,8,FAIL,11.251218589954078,0.03468107432126999,0.9375,0.42032095553178295,24,15,1.0
26090612,tiny_2,2,FAIL,11.25199266220443,0.16194970905780792,0.96875,0.4057142503058871,19,14,1.0
26090612,zero_0,0,FAIL,11.252905153203756,1.9200479984283447,0.34375,0.222755746612238,16,4,1.0
26090613,full_32,32,PASS,11.26808571163565,0.0027566449716687202,1.0,0.4900737096428577,0,5,1.0
26090613,tiny_8,8,PASS,11.277032089070417,0.00289463484659791,1.0,0.43035598254004975,24,6,1.0
26090613,tiny_2,2,FAIL,11.27799211407546,0.29641732573509216,0.8125,0.3529151986361637,30,2,1.0
26090613,zero_0,0,FAIL,11.278471548866946,1.9329761266708374,0.34375,0.2230238817876479,16,4,1.0
