arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_no_decay_grad_projection,1,0,58,1.7103966456488706e-06,1.0169333819476378e-07,0.05945596245029006,True
sgd_no_decay_grad_projection,1,1,60,1.9939657249778975e-06,1.0749580070523734e-07,0.05391052887626744,True
sgd_no_decay_grad_projection,1,2,60,1.8980308595928364e-06,9.877394546720097e-08,0.052040193618451615,True
sgd_no_decay_grad_projection,1,3,49,1.7305028450209647e-06,8.955073127481228e-08,0.05174835729632683,True
sgd_no_decay_grad_projection,1,4,60,1.8193927644460928e-06,1.1287878010080021e-07,0.06204197370939419,True
sgd_no_decay_grad_projection,1,5,53,3.434388418099843e-06,9.103429476908786e-08,0.026506689745001234,True
sgd_no_decay_grad_projection,1,6,60,2.169236722693313e-06,9.848815096802355e-08,0.04540219356214276,True
sgd_no_decay_grad_projection,1,7,53,1.0828913445948274e-06,9.771450493190059e-08,0.0902347360932367,True
sgd_no_decay_grad_projection,2,0,58,3.667113560368307e-06,1.0220554713669117e-07,0.027870835626805767,True
sgd_no_decay_grad_projection,2,1,60,4.340512987255352e-06,1.0592164301215234e-07,0.024403018472733927,True
sgd_no_decay_grad_projection,2,2,60,4.077641278854571e-06,9.771569153826931e-08,0.023963772409608744,True
sgd_no_decay_grad_projection,2,3,49,3.0013382001925493e-06,8.996503453317928e-08,0.029974964018531336,True
sgd_no_decay_grad_projection,2,4,60,3.949272013414884e-06,1.1363535179498285e-07,0.028773739219594714,True
sgd_no_decay_grad_projection,2,5,53,5.833935574628413e-06,9.013634638677104e-08,0.015450347331297853,True
sgd_no_decay_grad_projection,2,6,60,4.232226274325512e-06,9.775301634817879e-08,0.02309729842279267,True
sgd_no_decay_grad_projection,2,7,53,2.2129258923087036e-06,9.938922573837772e-08,0.04491301817688468,True
sgd_no_decay_grad_projection,3,0,58,4.874805654253578e-06,1.0181458520719389e-07,0.020885871466995352,True
sgd_no_decay_grad_projection,3,1,60,7.185553386079846e-06,1.0731731947544176e-07,0.014935148174974686,True
sgd_no_decay_grad_projection,3,2,60,5.108764071337646e-06,9.879690310299338e-08,0.01933870548428351,True
sgd_no_decay_grad_projection,3,3,49,4.406492280395469e-06,8.976365251101015e-08,0.02037076804595834,True
sgd_no_decay_grad_projection,3,4,60,5.735909326176625e-06,1.138000627065594e-07,0.019839930583854665,True
sgd_no_decay_grad_projection,3,5,53,1.1551373972906731e-05,9.047462867783906e-08,0.007832368777746679,True
sgd_no_decay_grad_projection,3,6,60,6.432910140574677e-06,9.780230669775847e-08,0.015203428830360216,True
sgd_no_decay_grad_projection,3,7,53,3.248929260735167e-06,9.930502642419015e-08,0.030565453381482997,True
sgd_no_decay_grad_projection,4,0,58,6.353881417453522e-06,1.0220217916412366e-07,0.016084996927765584,True
sgd_no_decay_grad_projection,4,1,60,8.800187970336992e-06,1.0646144232850929e-07,0.012097631390344166,True
sgd_no_decay_grad_projection,4,2,60,7.919250492705032e-06,9.887316565482251e-08,0.012485165516703365,True
