arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_with_decay_grad_projection,1,0,58,2.6893756057688734e-06,9.266407232644269e-07,0.34455595444562404,True
sgd_with_decay_grad_projection,1,1,60,2.9301477297849488e-06,9.626397741158144e-07,0.32852932150869524,True
sgd_with_decay_grad_projection,1,2,60,2.747783355516731e-06,8.691814059602621e-07,0.31632082197979083,True
sgd_with_decay_grad_projection,1,3,49,2.6416132641315926e-06,8.573210266149545e-07,0.32454436601734177,True
sgd_with_decay_grad_projection,1,4,60,2.929145466623595e-06,1.0798485163832083e-06,0.3686563743696783,True
sgd_with_decay_grad_projection,1,5,53,3.929941613023402e-06,8.283370220851793e-07,0.21077585696548354,True
sgd_with_decay_grad_projection,1,6,60,2.9263778742461e-06,8.540813496438204e-07,0.29185603995444737,True
sgd_with_decay_grad_projection,1,7,53,2.380321348027792e-06,1.000134602691105e-06,0.42016771531795405,True
sgd_with_decay_grad_projection,2,0,58,5.536175194720272e-06,1.8449647996021667e-06,0.33325615636324374,True
sgd_with_decay_grad_projection,2,1,60,6.120199486758793e-06,1.912678044391214e-06,0.3125188543299097,True
sgd_with_decay_grad_projection,2,2,60,5.68707037018612e-06,1.7284082787227817e-06,0.30391886547859803,True
sgd_with_decay_grad_projection,2,3,49,4.994676601199899e-06,1.707296064523689e-06,0.341823076651341,True
sgd_with_decay_grad_projection,2,4,60,6.057742211851291e-06,2.149635975001729e-06,0.3548575599566863,True
sgd_with_decay_grad_projection,2,5,53,6.984462743275799e-06,1.648438114898454e-06,0.23601498633097867,True
sgd_with_decay_grad_projection,2,6,60,5.766548383689951e-06,1.7022404108502087e-06,0.29519220205844554,True
sgd_with_decay_grad_projection,2,7,53,4.7772250582056586e-06,1.9905819499399513e-06,0.41668154818020486,True
sgd_with_decay_grad_projection,3,0,58,7.914813977549784e-06,2.7666164896800183e-06,0.349549104751971,True
sgd_with_decay_grad_projection,3,1,60,9.683952157502063e-06,2.865700935217319e-06,0.29592263496207527,True
sgd_with_decay_grad_projection,3,2,60,7.845749678381253e-06,2.592532155176741e-06,0.33043774413076765,True
sgd_with_decay_grad_projection,3,3,49,7.449905751855113e-06,2.558986579970224e-06,0.3434924308727766,True
sgd_with_decay_grad_projection,3,4,60,8.967173926066607e-06,3.2204891340370523e-06,0.3591419996364116,True
sgd_with_decay_grad_projection,3,5,53,1.2875670108769555e-05,2.4718401618883945e-06,0.1919775785671348,True
sgd_with_decay_grad_projection,3,6,60,8.77466027304763e-06,2.5492358872725163e-06,0.29052242678618084,True
sgd_with_decay_grad_projection,3,7,53,7.123159775801469e-06,2.9870752769056708e-06,0.41934688418844196,True
sgd_with_decay_grad_projection,4,0,58,1.0478740477992687e-05,3.6882063341181492e-06,0.3519703527245205,True
sgd_with_decay_grad_projection,4,1,60,1.2345272807579022e-05,3.823126007773681e-06,0.3096833709290906,True
sgd_with_decay_grad_projection,4,2,60,1.1256707693974022e-05,3.4533729831309756e-06,0.30678354366402383,True
sgd_with_decay_grad_projection,4,3,49,1.0103498425451107e-05,3.4082661386491964e-06,0.33733521378381454,True
sgd_with_decay_grad_projection,4,4,60,1.1427001481933985e-05,4.292992798582418e-06,0.3756884454492428,True
sgd_with_decay_grad_projection,4,5,53,1.2720851373160258e-05,3.294099997219746e-06,0.2589527730209315,True
sgd_with_decay_grad_projection,4,6,60,1.1914279639313463e-05,3.396776492081699e-06,0.2851012658601797,True
sgd_with_decay_grad_projection,4,7,53,9.457187843509018e-06,3.981328973168274e-06,0.4209844002323033,True
sgd_with_decay_grad_projection,5,0,58,1.45200829138048e-05,4.60787214251468e-06,0.31734473229412946,True
sgd_with_decay_grad_projection,5,1,60,1.6193991541513242e-05,4.7765124691068195e-06,0.2949558274071232,True
sgd_with_decay_grad_projection,5,2,60,1.4538459254254121e-05,4.315278602007311e-06,0.2968181311184319,True
sgd_with_decay_grad_projection,5,3,49,1.3046046660747379e-05,4.259794877725653e-06,0.3265199536670725,True
sgd_with_decay_grad_projection,5,4,60,1.625689401407726e-05,5.367553512769518e-06,0.3301708910663209,True
sgd_with_decay_grad_projection,5,5,53,2.459622555761598e-05,4.119359346077545e-06,0.16747932193696702,True
sgd_with_decay_grad_projection,5,6,60,1.488628640800016e-05,4.246222033543745e-06,0.28524385679009184,True
sgd_with_decay_grad_projection,5,7,53,1.202882867801236e-05,4.976372110832017e-06,0.41370376371097733,True
sgd_with_decay_grad_projection,6,0,58,1.64392313308781e-05,5.529760983336018e-06,0.33637586427617855,True
sgd_with_decay_grad_projection,6,1,60,1.799243182176724e-05,5.730912562285084e-06,0.31851793579308674,True
sgd_with_decay_grad_projection,6,2,60,1.5791127225384116e-05,5.179077106731711e-06,0.3279738491646458,True
sgd_with_decay_grad_projection,6,3,49,1.5528983567492105e-05,5.113076440466102e-06,0.3292601920134339,True
sgd_with_decay_grad_projection,6,4,60,1.683844493527431e-05,6.440812285291031e-06,0.3825063375829942,True
sgd_with_decay_grad_projection,6,5,53,2.0001507436973043e-05,4.94064897793578e-06,0.2470138186579432,True
sgd_with_decay_grad_projection,6,6,60,1.772975519997999e-05,5.095494543638779e-06,0.28739789121547704,True
sgd_with_decay_grad_projection,6,7,53,1.3905270861869212e-05,5.971285190753406e-06,0.4294259939733906,True
sgd_with_decay_grad_projection,7,0,58,1.9667024389491417e-05,6.4506352828175295e-06,0.32799242158218117,True
sgd_with_decay_grad_projection,7,1,60,2.1849129552720115e-05,6.685415883112e-06,0.305980865782309,True
sgd_with_decay_grad_projection,7,2,60,1.8804114006343298e-05,6.0419406509026885e-06,0.3213094925692875,True
sgd_with_decay_grad_projection,7,3,49,1.7477736037108116e-05,5.964506271993741e-06,0.3412630742372489,True
sgd_with_decay_grad_projection,7,4,60,1.971262645383831e-05,7.5138073043490294e-06,0.38116721486997873,True
sgd_with_decay_grad_projection,7,5,53,2.815444349835161e-05,5.764971319877077e-06,0.2047623891217106,True
sgd_with_decay_grad_projection,7,6,60,1.949990473804064e-05,5.9449239415698685e-06,0.30486936816173643,True
sgd_with_decay_grad_projection,7,7,53,1.6386848074034788e-05,6.965424290683586e-06,0.4250618443615501,True
sgd_with_decay_grad_projection,8,0,58,2.180734372814186e-05,7.372422714979621e-06,0.33807062743708016,True
sgd_with_decay_grad_projection,8,1,60,2.3237962523126043e-05,7.6399110184866e-06,0.3287685261612312,True
sgd_with_decay_grad_projection,8,2,60,2.2612994143855758e-05,6.90412389303674e-06,0.3053166486400931,True
sgd_with_decay_grad_projection,8,3,49,2.0671677702921443e-05,6.816377663199091e-06,0.329744756638258,True
sgd_with_decay_grad_projection,8,4,60,2.522990143916104e-05,8.584610441175755e-06,0.34025539582947417,True
sgd_with_decay_grad_projection,8,5,53,3.459684376139194e-05,6.589610620721942e-06,0.19046854319141734,True
sgd_with_decay_grad_projection,8,6,60,2.3194286768557504e-05,6.792696240154328e-06,0.2928607382962024,True
sgd_with_decay_grad_projection,8,7,53,1.8651964637683704e-05,7.960290531627834e-06,0.42678024859455954,True
sgd_with_decay_grad_projection,9,0,58,2.6378227630630136e-05,8.293104656331707e-06,0.31439202277221284,True
sgd_with_decay_grad_projection,9,1,60,2.7869647965417244e-05,8.59502142702695e-06,0.3084007781257776,True
sgd_with_decay_grad_projection,9,2,60,2.477353518770542e-05,7.76855358708417e-06,0.3135827492782213,True
sgd_with_decay_grad_projection,9,3,49,2.237453190900851e-05,7.667675163247623e-06,0.3426965467583208,True
sgd_with_decay_grad_projection,9,4,60,3.0155495551298372e-05,9.659703209763393e-06,0.3203297678528025,True
sgd_with_decay_grad_projection,9,5,53,5.315761882229708e-05,7.414369974867441e-06,0.13947896838972965,True
sgd_with_decay_grad_projection,9,6,60,2.4660224880790338e-05,7.641852789674886e-06,0.3098857580062836,True
sgd_with_decay_grad_projection,9,7,53,2.093146395054646e-05,8.956954843597487e-06,0.4279182018439492,True
sgd_with_decay_grad_projection,10,0,58,2.7580890673561953e-05,9.214296369464137e-06,0.33408261337310674,True
sgd_with_decay_grad_projection,10,1,60,3.0458724722848274e-05,9.550883987685665e-06,0.3135680748627372,True
sgd_with_decay_grad_projection,10,2,60,3.0694449378643185e-05,8.630764568806626e-06,0.2811832257081822,True
sgd_with_decay_grad_projection,10,3,49,2.573834171926137e-05,8.521235031366814e-06,0.3310716282051028,True
sgd_with_decay_grad_projection,10,4,60,2.8649927116930485e-05,1.0732213013397995e-05,0.37459825272845504,True
sgd_with_decay_grad_projection,10,5,53,3.195200770278461e-05,8.235562745539937e-06,0.2577478875317848,True
sgd_with_decay_grad_projection,10,6,60,3.460708830971271e-05,8.491781045449898e-06,0.24537692174726242,True
sgd_with_decay_grad_projection,10,7,53,2.3333206627285108e-05,9.94919719232712e-06,0.42639646255463165,True
sgd_with_decay_grad_projection,11,0,58,2.848987242032308e-05,1.0135574484593235e-05,0.35576060079519634,True
sgd_with_decay_grad_projection,11,1,60,3.1946252420311794e-05,1.0504188139748294e-05,0.3288081391437786,True
sgd_with_decay_grad_projection,11,2,60,2.9155577067285776e-05,9.492579010839108e-06,0.3255836323646872,True
sgd_with_decay_grad_projection,11,3,49,2.7297619453747757e-05,9.370880434289575e-06,0.34328561532194,True
sgd_with_decay_grad_projection,11,4,60,3.0527255148626864e-05,1.1804746463894844e-05,0.38669529965030375,True
sgd_with_decay_grad_projection,11,5,53,3.33346652041655e-05,9.059650437848177e-06,0.27177864576055305,True
sgd_with_decay_grad_projection,11,6,60,3.262005338910967e-05,9.340059477835894e-06,0.28632875244236583,True
sgd_with_decay_grad_projection,11,7,53,2.5327433831989765e-05,1.0945324902422726e-05,0.4321529193551909,True
sgd_with_decay_grad_projection,12,0,58,3.215686228941195e-05,1.1058637028327212e-05,0.34389663347445976,True
sgd_with_decay_grad_projection,12,1,60,3.730316166183911e-05,1.1459786037448794e-05,0.30720682161279794,True
sgd_with_decay_grad_projection,12,2,60,3.273278707638383e-05,1.035487002809532e-05,0.3163454944299776,True
sgd_with_decay_grad_projection,12,3,49,3.0454581064986996e-05,1.0224317520624027e-05,0.33572345530161496,True
sgd_with_decay_grad_projection,12,4,60,3.585787635529414e-05,1.287831946683582e-05,0.3591489629804993,True
sgd_with_decay_grad_projection,12,5,53,4.667532630264759e-05,9.882841368380468e-06,0.2117358771648052,True
sgd_with_decay_grad_projection,12,6,60,3.522071347106248e-05,1.0189341992372647e-05,0.28929969608493494,True
