arm,step,cell_id,certificate_rank,parameter_dtype,machine_epsilon,basis_orthogonality_error,gradient_analytic_norm,gradient_analytic_violation_norm,gradient_analytic_rho,gradient_safe_ideal_violation_norm,gradient_safe_ideal_rho,gradient_float_commit_violation_norm,gradient_float_commit_rho,optimizer_raw_update_norm,optimizer_raw_violation_norm,optimizer_raw_rho,matched_safe_update_norm,matched_safe_ideal_violation_norm,matched_safe_ideal_rho,matched_safe_float_commit_norm,matched_safe_float_commit_violation_norm,matched_safe_float_commit_rho,roundoff_bound_norm,machine_floor_envelope_norm,committed_update_norm,committed_violation_norm,committed_rho,committed_excess_factor,eligible_for_ratio
adamw_final_update_projection,1,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,1.6898202113185475e-06,7.158763965063399e-13,4.2364056939983555e-07,2.4369914802847943e-22,1.4421602156027335e-16,1.0169333807225706e-07,0.059455997174469345,0.007677182471449636,0.0018056290189816624,0.2351942298748979,0.007461825148430165,1.2602263800289571e-18,1.6888982989558344e-16,0.007461825995695938,1.0128198508950438e-07,1.3573351234392884e-05,9.88045286667737e-06,9.88045286667737e-06,0.007461826051661079,1.0130048479534501e-07,1.3575830379052389e-05,0.010252615559453669,True
adamw_final_update_projection,1,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,1.975999155927725e-06,5.785724279714085e-13,2.9279993679945204e-07,2.8633184214291077e-22,1.4490484031026377e-16,1.0749579989852907e-07,0.05391055708500394,0.007677696428265785,0.0018282033378738181,0.2381187319601756,0.007456855570546624,1.3071804633865508e-18,1.7529915270850929e-16,0.007456855327065026,1.0748695674560036e-07,1.4414515507022259e-05,1.0196390510771178e-05,1.0196390510771178e-05,0.007456855354740685,1.0742209352956815e-07,1.4405816985745166e-05,0.010535305941459431,True
adamw_final_update_projection,1,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,1.8821437530646159e-06,5.989789178187162e-13,3.1824291680347154e-07,2.7509847254149896e-22,1.4616230672794338e-16,9.877736811338514e-08,0.052041967851678014,0.0076775473227556155,0.0018269969240912133,0.2379662211493175,0.007456997729147648,1.3031690668533111e-18,1.7475787363586422e-16,0.0074569970037278496,9.927229246010195e-08,1.3312636763897645e-05,9.403005951112793e-06,9.403005951112793e-06,0.007456997084467434,9.924352652497622e-08,1.3308779043469886e-05,0.01055444684826891,True
adamw_final_update_projection,1,3,49,torch.float32,1.1920928955078125e-07,5.138758647397377e-06,1.7122383424116826e-06,7.818982493985917e-13,4.566526925785871e-07,2.247295878557731e-22,1.312490103096661e-16,8.955073136115781e-08,0.05174838832035919,0.007677255902148721,0.0016565975651567626,0.21577990707501515,0.007496395313361888,1.1533297603016752e-18,1.5385124611103848e-16,0.0074963959433236044,9.004871777267192e-08,1.2012268089023575e-05,9.520496134299753e-06,9.520496134299753e-06,0.00749639591233568,9.000979796797468e-08,1.2007076336491143e-05,0.009454317999635956,True
adamw_final_update_projection,1,4,60,torch.float32,1.1920928955078125e-07,8.425881056896194e-06,1.7982256805910066e-06,1.223942646421891e-12,6.806390652921989e-07,2.621892967275371e-22,1.4580444465759516e-16,1.1287146544999135e-07,0.06203808222355939,0.00767712954902585,0.0018437427473867469,0.24016043178803712,0.007452444618645927,1.329425812054017e-18,1.7838788210888674e-16,0.0074524454426845394,1.140583069429686e-07,1.530481609294173e-05,1.0830566778661596e-05,1.0830566778661596e-05,0.007452445484545742,1.1421130046118937e-07,1.5325345310882342e-05,0.010545274572906813,True
adamw_final_update_projection,1,5,53,torch.float32,1.1920928955078125e-07,5.678672305444112e-06,3.4266948330285915e-06,1.1975117189594241e-12,3.4946552795337067e-07,4.484852648559843e-22,1.3087983806822684e-16,9.103429528943168e-08,0.02650669809839464,0.007678366144414863,0.001761443696058624,0.22940345158453715,0.007473595035410449,1.2137938952716119e-18,1.6241098019367736e-16,0.007473594229290423,9.039518869812122e-08,1.2095276506161582e-05,9.198467056879704e-06,9.198467056879704e-06,0.007473594359719488,9.044620312156013e-08,1.2102102250697337e-05,0.009832747409136366,True
adamw_final_update_projection,1,6,60,torch.float32,1.1920928955078125e-07,3.095485046437789e-06,2.1541211026043923e-06,6.021345975201704e-13,2.7952680877234474e-07,3.1225989131345015e-22,1.4495930193336458e-16,9.848815176639059e-08,0.045402211318071976,0.007677816944170573,0.0018207912810367056,0.23714960831661297,0.00745879294115968,1.3091575058586924e-18,1.755186819350353e-16,0.007458793003992601,9.812867270488244e-08,1.315610617593964e-05,9.356803664749954e-06,9.356803664749954e-06,0.007458793074015254,9.808139435612319e-08,1.3149767446668624e-05,0.010482361057294266,True
adamw_final_update_projection,1,7,53,torch.float32,1.1920928955078125e-07,7.079248571757639e-06,1.0540401318025114e-06,5.965705391768638e-13,5.659846538828365e-07,1.4131180483494432e-22,1.340668164060414e-16,9.771449906547277e-08,0.09023480566999832,0.007675470873991428,0.0017184016196310126,0.22388224095200074,0.007480638275651367,1.2164757283095134e-18,1.6261656873170897e-16,0.007480638909321168,9.926244585348798e-08,1.3269247059873869e-05,1.0060236412613993e-05,1.0060236412613993e-05,0.007480638720138456,9.92458792769904e-08,1.326703280159926e-05,0.009865163720462006,True
adamw_final_update_projection,2,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,3.6262880051630605e-06,1.527750467562102e-12,4.212987124538678e-07,5.195561671087587e-22,1.4327493193289325e-16,1.0324228907148841e-07,0.02840086361282269,0.011837729460084089,0.0022080921732490384,0.18653004198943346,0.011629968517781081,1.8520986545255627e-18,1.5925225005500965e-16,0.01162996798598903,1.0174517803818639e-07,8.748534661553827e-06,9.884400561009704e-06,9.884400561009704e-06,0.011629967986919017,1.0172324630172379e-07,8.746648865769756e-06,0.010291291381187473,True
adamw_final_update_projection,2,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,4.329925932167399e-06,1.2858568501341242e-12,2.9696971040113664e-07,6.311456322188399e-22,1.457636093795581e-16,1.0604647261774081e-07,0.024440662001267835,0.011769741694632125,0.0021894827539130734,0.18602640658729494,0.011564297852817484,1.908161788067184e-18,1.6500455214427795e-16,0.011564298567950096,1.063526872166791e-07,9.19663969169998e-06,1.020029418152629e-05,1.020029418152629e-05,0.011564298545622104,1.0623798044228524e-07,9.186720666469109e-06,0.010415187890824991,True
adamw_final_update_projection,2,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,4.069280107851333e-06,1.3101095349325102e-12,3.2195118060434434e-07,5.941710566370375e-22,1.4601380118578355e-16,9.772858409763042e-08,0.02396570355187267,0.011843718774092982,0.002209104560623995,0.1865211934494935,0.011635872611885745,1.916393814361418e-18,1.6469704321134204e-16,0.011635872857124458,9.849821752876922e-08,8.465047593611367e-06,9.406939369636547e-06,9.406939369636547e-06,0.011635872794940489,9.853203090569887e-08,8.467953598508106e-06,0.010474398423757017,True
