arm,step,cell_id,certificate_rank,parameter_dtype,machine_epsilon,basis_orthogonality_error,gradient_analytic_norm,gradient_analytic_violation_norm,gradient_analytic_rho,gradient_safe_ideal_violation_norm,gradient_safe_ideal_rho,gradient_float_commit_violation_norm,gradient_float_commit_rho,optimizer_raw_update_norm,optimizer_raw_violation_norm,optimizer_raw_rho,matched_safe_update_norm,matched_safe_ideal_violation_norm,matched_safe_ideal_rho,matched_safe_float_commit_norm,matched_safe_float_commit_violation_norm,matched_safe_float_commit_rho,roundoff_bound_norm,machine_floor_envelope_norm,committed_update_norm,committed_violation_norm,committed_rho,committed_excess_factor,eligible_for_ratio
adamw_no_decay_grad_projection,1,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,1.6898202113185475e-06,7.158763965063399e-13,4.2364056939983555e-07,2.4369914802847943e-22,1.4421602156027335e-16,1.0169333807225706e-07,0.059455997174469345,0.007677176521141316,0.0018056324138850486,0.23519485437292212,0.00746181820488084,1.258877213448881e-18,1.6870917769417625e-16,0.007461817068992792,1.0105776101364067e-07,1.3543317945113013e-05,9.880452860055484e-06,9.880452860055484e-06,0.007677176521141316,0.0018056324138850486,0.23519485437292212,182.74794075328538,True
adamw_no_decay_grad_projection,1,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,1.975999155927725e-06,5.785724279714085e-13,2.9279993679945204e-07,2.8633184214291077e-22,1.4490484031026377e-16,1.0749579989852907e-07,0.05391055708500394,0.007677691118438902,0.0018282033372400662,0.23811889655855198,0.007456850103620153,1.3224362872775705e-18,1.7734516168369186e-16,0.0074568494750791485,1.0741035539468372e-07,1.4404254203286523e-05,1.019639050555751e-05,1.019639050555751e-05,0.007677691118438902,0.0018282033372400662,0.23811889655855198,179.29907021936927,True
adamw_no_decay_grad_projection,1,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,1.8821437530646159e-06,5.989789178187162e-13,3.1824291680347154e-07,2.7509847254149896e-22,1.4616230672794338e-16,9.877736811338514e-08,0.052041967851678014,0.007677533333078452,0.0018270005237042324,0.23796712361151834,0.00745698244378483,1.2814679983479474e-18,1.7184806428182118e-16,0.007456982610126155,9.900252050625593e-08,1.32764853671264e-05,9.403005936535536e-06,9.403005936535536e-06,0.007677533333078452,0.0018270005237042324,0.23796712361151834,194.29962461316669,True
adamw_no_decay_grad_projection,1,3,49,torch.float32,1.1920928955078125e-07,5.138758647397377e-06,1.7122383424116826e-06,7.818982493985917e-13,4.566526925785871e-07,2.247295878557731e-22,1.312490103096661e-16,8.955073136115781e-08,0.05174838832035919,0.007677251833942224,0.0016565884025373603,0.21577882794118425,0.007496393171809224,1.1270019668646671e-18,1.5033922861768333e-16,0.007496392720188207,8.957306004716413e-08,1.1948821705396896e-05,9.520496132257409e-06,9.520496132257409e-06,0.007677251833942224,0.0016565884025373603,0.21577882794118425,174.00231873678268,True
adamw_no_decay_grad_projection,1,4,60,torch.float32,1.1920928955078125e-07,8.425881056896194e-06,1.7982256805910066e-06,1.223942646421891e-12,6.806390652921989e-07,2.621892967275371e-22,1.4580444465759516e-16,1.1287146544999135e-07,0.06203808222355939,0.007677106084935058,0.0018437507489564688,0.240162208071411,0.007452418467522429,1.3227495053441704e-18,1.7749265035353294e-16,0.007452418328619511,1.139969958370772e-07,1.5296644768221707e-05,1.083056675372194e-05,1.083056675372194e-05,0.007677106084935058,0.0018437507489564688,0.240162208071411,170.2358510761093,True
adamw_no_decay_grad_projection,1,5,53,torch.float32,1.1920928955078125e-07,5.678672305444112e-06,3.4266948330285915e-06,1.1975117189594241e-12,3.4946552795337067e-07,4.484852648559843e-22,1.3087983806822684e-16,9.103429528943168e-08,0.02650669809839464,0.007678366847468177,0.0017614408600134515,0.22940306122443985,0.007473596426150765,1.1932907301411612e-18,1.5966753649765365e-16,0.00747359631409543,9.093352532011433e-08,1.2167304935725647e-05,9.198467058206017e-06,9.198467058206017e-06,0.007678366847468177,0.0017614408600134515,0.22940306122443985,191.49287037366273,True
adamw_no_decay_grad_projection,1,6,60,torch.float32,1.1920928955078125e-07,3.095485046437789e-06,2.1541211026043923e-06,6.021345975201704e-13,2.7952680877234474e-07,3.1225989131345015e-22,1.4495930193336458e-16,9.848815176639059e-08,0.045402211318071976,0.007677813429901052,0.001820797963723101,0.2371505872534033,0.007458787692357972,1.3080776543202109e-18,1.7537402970464278e-16,0.0074587882491827925,9.769967383040723e-08,1.3098598668639172e-05,9.356803659744306e-06,9.356803659744306e-06,0.007677813429901052,0.001820797963723101,0.2371505872534033,194.59614949031194,True
adamw_no_decay_grad_projection,1,7,53,torch.float32,1.1920928955078125e-07,7.079248571757639e-06,1.0540401318025114e-06,5.965705391768638e-13,5.659846538828365e-07,1.4131180483494432e-22,1.340668164060414e-16,9.771449906547277e-08,0.09023480566999832,0.007675459228020152,0.0017184096827746827,0.2238836311580458,0.007480624474142912,1.22184586583403e-18,1.6333474164588673e-16,0.007480624539494604,1.0007468785578075e-07,1.3377851986478906e-05,1.0060236399451848e-05,1.0060236399451848e-05,0.007675459228020152,0.0017184096827746827,0.2238836311580458,170.81205794212883,True
adamw_no_decay_grad_projection,2,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,3.626718742732791e-06,1.5258385300908676e-12,4.2072149464259905e-07,5.1224031979734415e-22,1.4124070713335993e-16,1.0322954924460269e-07,0.02839438079999913,0.011837752045953352,0.0022081585288230357,0.18653529151912573,0.011629978908538865,1.8532449051969812e-18,1.5935066776744603e-16,0.011629978746235588,1.0211396596608792e-07,8.780236679206343e-06,9.884405438059852e-06,9.884405438059852e-06,0.011837752045953352,0.0022081585288230357,0.18653529151912573,223.39821475963873,True
adamw_no_decay_grad_projection,2,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,4.329765296939271e-06,1.2909772062911333e-12,2.981633224331421e-07,6.366588673778532e-22,1.4704235073156004e-16,1.0587419916475051e-07,0.024401847907335884,0.011769739713775632,0.002189545524846926,0.1860317711430968,0.011564283952093623,1.908786197981162e-18,1.6505874517510365e-16,0.011564283661820171,1.0630732566089212e-07,9.192728989506626e-06,1.0200294966766541e-05,1.0200294966766541e-05,0.011769739713775632,0.002189545524846926,0.1860317711430968,214.6551185020294,True
