arm,step,cell_id,certificate_rank,parameter_dtype,machine_epsilon,basis_orthogonality_error,gradient_analytic_norm,gradient_analytic_violation_norm,gradient_analytic_rho,gradient_safe_ideal_violation_norm,gradient_safe_ideal_rho,gradient_float_commit_violation_norm,gradient_float_commit_rho,optimizer_raw_update_norm,optimizer_raw_violation_norm,optimizer_raw_rho,matched_safe_update_norm,matched_safe_ideal_violation_norm,matched_safe_ideal_rho,matched_safe_float_commit_norm,matched_safe_float_commit_violation_norm,matched_safe_float_commit_rho,roundoff_bound_norm,machine_floor_envelope_norm,committed_update_norm,committed_violation_norm,committed_rho,committed_excess_factor,eligible_for_ratio
sgd_no_decay_grad_projection,1,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,1.6898202113185475e-06,7.158763965063399e-13,4.2364056939983555e-07,2.4369914802847943e-22,1.4421602156027335e-16,1.0169333807225706e-07,0.059455997174469345,1.7103966446604702e-06,1.0169333807064245e-07,0.05945599717358516,1.707370828806046e-06,2.378621349471572e-22,1.393148640787618e-16,1.7116574209928293e-06,7.488400809088004e-08,0.04374941338871673,9.873338343955506e-06,9.873338343955506e-06,1.7103966446604702e-06,1.0169333807064245e-07,0.05945599717358516,0.010299792686928377,True
sgd_no_decay_grad_projection,1,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,1.975999155927725e-06,5.785724279714085e-13,2.9279993679945204e-07,2.8633184214291077e-22,1.4490484031026377e-16,1.0749579989852907e-07,0.05391055708500394,1.9939656666695936e-06,1.0749579989852907e-07,0.05391055708500394,1.991065979032662e-06,2.8506736949743635e-22,1.4317324111777215e-16,1.9949836091581153e-06,7.932539833612899e-08,0.03976243111571447,1.0189280997960882e-05,1.0189280997960882e-05,1.9939656666695936e-06,1.0749579989852907e-07,0.05391055708500394,0.010549890607594543,True
sgd_no_decay_grad_projection,1,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,1.8821437530646159e-06,5.989789178187162e-13,3.1824291680347154e-07,2.7509847254149896e-22,1.4616230672794338e-16,9.877736811338514e-08,0.052041967851678014,1.8980308618408978e-06,9.877394527925596e-08,0.05204022087578451,1.895459010433745e-06,2.742439995527403e-22,1.446847428739617e-16,1.8989872021066657e-06,7.299818553747467e-08,0.03844058846552162,9.395896211551583e-06,9.395896211551583e-06,1.8980308618408978e-06,9.877394527925596e-08,0.05204022087578451,0.010512455976027114,True
sgd_no_decay_grad_projection,1,3,49,torch.float32,1.1920928955078125e-07,5.138758647397377e-06,1.7122383424116826e-06,7.818982493985917e-13,4.566526925785871e-07,2.247295878557731e-22,1.312490103096661e-16,8.955073136115781e-08,0.05174838832035919,1.730502809223262e-06,8.955073136115781e-08,0.05174838832035919,1.7281842029258001e-06,2.2168632659838075e-22,1.282770240713159e-16,1.7313290175589496e-06,6.660768415646623e-08,0.03847199664589363,9.51334866274866e-06,9.51334866274866e-06,1.730502809223262e-06,8.955073136115781e-08,0.05174838832035919,0.009413166124333365,True
sgd_no_decay_grad_projection,1,4,60,torch.float32,1.1920928955078125e-07,8.425881056896194e-06,1.7982256805910066e-06,1.223942646421891e-12,6.806390652921989e-07,2.621892967275371e-22,1.4580444465759516e-16,1.1287146544999135e-07,0.06203808222355939,1.8193928448079263e-06,1.128787795970672e-07,0.06204200479252948,1.8158878558035888e-06,2.5934780641635536e-22,1.4282148844570889e-16,1.8206487401654128e-06,8.37032130555842e-08,0.04597438880383893,1.0823461305399963e-05,1.0823461305399963e-05,1.8193928448079263e-06,1.128787795970672e-07,0.06204200479252948,0.010429083304501726,True
sgd_no_decay_grad_projection,1,5,53,torch.float32,1.1920928955078125e-07,5.678672305444112e-06,3.4266948330285915e-06,1.1975117189594241e-12,3.4946552795337067e-07,4.484852648559843e-22,1.3087983806822684e-16,9.103429528943168e-08,0.02650669809839464,3.4343883601709984e-06,9.10342945919837e-08,0.02650669785855293,3.4331816389008866e-06,4.431976222782493e-22,1.2909238976943162e-16,3.434818309208469e-06,6.746401686728709e-08,0.01964121848495495,9.191342955380365e-06,9.191342955380365e-06,3.4343883601709984e-06,9.10342945919837e-08,0.02650669785855293,0.00990435184868112,True
sgd_no_decay_grad_projection,1,6,60,torch.float32,1.1920928955078125e-07,3.095485046437789e-06,2.1541211026043923e-06,6.021345975201704e-13,2.7952680877234474e-07,3.1225989131345015e-22,1.4495930193336458e-16,9.848815176639059e-08,0.045402211318071976,2.169236891930596e-06,9.848815176639059e-08,0.045402211318071976,2.166999948609679e-06,3.05700723142543e-22,1.4107094157463033e-16,2.1699160148827926e-06,7.270212282957473e-08,0.03350457913160372,9.349692472102772e-06,9.349692472102772e-06,2.169236891930596e-06,9.848815176639059e-08,0.045402211318071976,0.010533838632688239,True
sgd_no_decay_grad_projection,1,7,53,torch.float32,1.1920928955078125e-07,7.079248571757639e-06,1.0540401318025114e-06,5.965705391768638e-13,5.659846538828365e-07,1.4131180483494432e-22,1.340668164060414e-16,9.771449906547277e-08,0.09023480566999832,1.0828914446038656e-06,9.771449906565924e-08,0.09023480567011437,1.0784738093568123e-06,1.4263197412019784e-22,1.3225353539671185e-16,1.084348941117028e-06,7.324628913024443e-08,0.06754863342679221,1.0053103348532952e-05,1.0053103348532952e-05,1.0828914446038656e-06,9.771449906565924e-08,0.09023480567011437,0.009719834331546856,True
sgd_no_decay_grad_projection,2,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,3.6582298642144187e-06,1.5458976157671053e-12,4.225807762626958e-07,5.231441218745647e-22,1.430047157484876e-16,1.0220554709033602e-07,0.027870843765204153,3.6671134878929048e-06,1.0220554709033602e-07,0.027870843765204153,3.665688933779029e-06,5.120689458012614e-22,1.3969241663758952e-16,3.6675508159520195e-06,7.564534619841229e-08,0.020625575484705682,9.873340205864289e-06,9.873340205864289e-06,3.6671134878929048e-06,1.0220554709033602e-07,0.027870843765204153,0.010351668732090365,True
sgd_no_decay_grad_projection,2,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,4.331503974338487e-06,1.2885282215132646e-12,2.97478249852016e-07,6.340754093750004e-22,1.4638689312800767e-16,1.0592179523182443e-07,0.02440305898360032,4.340512852368338e-06,1.0592164069701411e-07,0.024403024319861074,4.339220255714934e-06,6.341172407851098e-22,1.4613621881718286e-16,4.340931387970198e-06,7.806698410366957e-08,0.017983924906072604,1.0189283228391918e-05,1.0189283228391918e-05,4.340512852368338e-06,1.0592164069701411e-07,0.024403024319861074,0.010395396645945503,True
sgd_no_decay_grad_projection,2,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,4.0693259272559605e-06,1.3044897071826418e-12,3.2056653374587004e-07,6.051910065609197e-22,1.4872021002481977e-16,9.771569171992491e-08,0.023963777492004967,4.077641413831955e-06,9.771569557177393e-08,0.023963778482410943,4.076470427052842e-06,5.959962660908103e-22,1.4620399601959006e-16,4.078123112971817e-06,7.222289102103934e-08,0.01770983587800736,9.395898274903417e-06,9.395898274903417e-06,4.077641413831955e-06,9.771569557177393e-08,0.023963778482410943,0.010399824765320628,True
