arm,step,cell_id,certificate_rank,parameter_dtype,machine_epsilon,basis_orthogonality_error,gradient_analytic_norm,gradient_analytic_violation_norm,gradient_analytic_rho,gradient_safe_ideal_violation_norm,gradient_safe_ideal_rho,gradient_float_commit_violation_norm,gradient_float_commit_rho,optimizer_raw_update_norm,optimizer_raw_violation_norm,optimizer_raw_rho,matched_safe_update_norm,matched_safe_ideal_violation_norm,matched_safe_ideal_rho,matched_safe_float_commit_norm,matched_safe_float_commit_violation_norm,matched_safe_float_commit_rho,roundoff_bound_norm,machine_floor_envelope_norm,committed_update_norm,committed_violation_norm,committed_rho,committed_excess_factor,eligible_for_ratio
sgd_with_decay_grad_projection,1,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,1.6898202113185475e-06,7.158763965063399e-13,4.2364056939983555e-07,2.4369914802847943e-22,1.4421602156027335e-16,1.0169333807225706e-07,0.059455997174469345,2.68937564041896e-06,9.266407445441199e-07,0.3445560860362983,2.524693697427395e-06,4.798255660218418e-22,1.900529820749238e-16,2.5449858064511155e-06,1.0255238189996616e-07,0.04029585612619644,9.873339123415332e-06,9.873339123415332e-06,2.68937564041896e-06,9.266407445441199e-07,0.3445560860362983,0.09385282253159166,True
sgd_with_decay_grad_projection,1,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,1.9759991739692844e-06,5.785989471815498e-13,2.9281335478460257e-07,2.8628278543233697e-22,1.4488001270632075e-16,1.0749579989852907e-07,0.05391055708500394,2.930150092410648e-06,9.626375429728948e-07,0.32852840728746713,2.7675094444126543e-06,5.564171773933802e-22,2.010533978544265e-16,2.786012678702565e-06,1.0945365937688171e-07,0.03928684898442524,1.0189281738435074e-05,1.0189281738435074e-05,2.930150092410648e-06,9.626375429728948e-07,0.32852840728746713,0.09447550550513505,True
sgd_with_decay_grad_projection,1,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,1.8821437493870324e-06,5.988311934302049e-13,3.1816443012136e-07,2.7454886205191466e-22,1.4587029398861927e-16,9.877736811338514e-08,0.052041967851678014,2.7477834559024823e-06,8.691814264008104e-07,0.316320932980993,2.6066909230921955e-06,4.964500714380465e-22,1.9045221934065395e-16,2.6236919801510926e-06,9.964567342206248e-08,0.03797918131240547,9.39589688983519e-06,9.39589688983519e-06,2.7477834559024823e-06,8.691814264008104e-07,0.316320932980993,0.0925064883737838,True
sgd_with_decay_grad_projection,1,3,49,torch.float32,1.1920928955078125e-07,5.138758647397377e-06,1.7122383424116826e-06,7.818982493985917e-13,4.566526925785871e-07,2.247295878557731e-22,1.312490103096661e-16,8.955073136115781e-08,0.05174838832035919,2.6416134266146554e-06,8.573210461274353e-07,0.3245444762998991,2.498624045257265e-06,4.380615443487436e-22,1.753211113053383e-16,2.517907753094585e-06,9.098387576809734e-08,0.036134713694842634,9.51334939749735e-06,9.51334939749735e-06,2.6416134266146554e-06,8.573210461274353e-07,0.3245444762998991,0.09011768729454722,True
sgd_with_decay_grad_projection,1,4,60,torch.float32,1.1920928955078125e-07,8.425881056896194e-06,1.7982256805910066e-06,1.223942646421891e-12,6.806390652921989e-07,2.621892967275371e-22,1.4580444465759516e-16,1.1287146544999135e-07,0.06203808222355939,2.9291454633557004e-06,1.079848506482072e-06,0.36865649725875044,2.7228331473936696e-06,6.104073034415068e-22,2.241809433037777e-16,2.742947217063139e-06,1.1475838584489523e-07,0.04183762091046232,1.0823462170330392e-05,1.0823462170330392e-05,2.9291454633557004e-06,1.079848506482072e-06,0.36865649725875044,0.09976923183066007,True
sgd_with_decay_grad_projection,1,5,53,torch.float32,1.1920928955078125e-07,5.678672305444112e-06,3.4266948330285915e-06,1.1975117189594241e-12,3.4946552795337067e-07,4.484852648559843e-22,1.3087983806822684e-16,9.103429528943168e-08,0.02650669809839464,3.929941605870354e-06,8.283370021930556e-07,0.21077590592077156,3.841653138474201e-06,5.83258407001848e-22,1.518248488288826e-16,3.8531389824920725e-06,9.121568678770308e-08,0.02367308503590702,9.191343344929142e-06,9.191343344929142e-06,3.929941605870354e-06,8.283370021930556e-07,0.21077590592077156,0.09012142960039117,True
sgd_with_decay_grad_projection,1,6,60,torch.float32,1.1920928955078125e-07,3.095485046437789e-06,2.154121089757414e-06,6.023274249500217e-13,2.796163260338594e-07,3.124866133806087e-22,1.4506455317969686e-16,9.848815176639059e-08,0.045402211318071976,2.9263779136246918e-06,8.540812945612388e-07,0.2918561169371834,2.79896995975859e-06,5.270451325593499e-22,1.8829967457200123e-16,2.8147865613257485e-06,9.872602686126044e-08,0.03507407212245643,9.34969307479634e-06,9.34969307479634e-06,2.9263779136246918e-06,8.540812945612388e-07,0.2918561169371834,0.09134859163062342,True
sgd_with_decay_grad_projection,1,7,53,torch.float32,1.1920928955078125e-07,7.079248571757639e-06,1.0540401372707742e-06,5.965963711540287e-13,5.660091585305238e-07,1.4135268681299314e-22,1.3410560168896436e-16,9.771448580313218e-08,0.09023479300172786,2.3803214082227036e-06,1.000134566921427e-06,0.4201678661824874,2.160014086642077e-06,4.828367955250932e-22,2.235340956853219e-16,2.1824257335749614e-06,1.0117218621637901e-07,0.046357676533923614,1.0053104379970135e-05,1.0053104379970135e-05,2.3803214082227036e-06,1.000134566921427e-06,0.4201678661824874,0.09948514698744211,True
sgd_with_decay_grad_projection,2,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,3.658155551754741e-06,1.5496246111523477e-12,4.236081788290892e-07,5.266384552734419e-22,1.439628380539673e-16,1.0236487872718386e-07,0.02791391321709857,5.536175123514294e-06,1.8449647430819727e-06,0.33325621063641725,5.219706897422783e-06,9.843420058887564e-22,1.8858185435177839e-16,5.225078760422315e-06,1.0139222271356255e-07,0.019404917583551902,9.873339714619423e-06,9.873339714619423e-06,5.536175123514294e-06,1.8449647430819727e-06,0.33325621063641725,0.18686329007297695,True
sgd_with_decay_grad_projection,2,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,4.331558356583641e-06,1.2868540173759963e-12,2.9708800192431334e-07,6.342910035999609e-22,1.4643482815738002e-16,1.0589178981574447e-07,0.02439519744569249,6.120199911219462e-06,1.912678049567725e-06,0.31251888456477234,5.813648564541247e-06,1.1379548624137484e-21,1.9573850221260217e-16,5.820118060930884e-06,1.0648656516125892e-07,0.01829628953338228,1.0189282596550378e-05,1.0189282596550378e-05,6.120199911219462e-06,1.912678049567725e-06,0.31251888456477234,0.18771469251576844,True
sgd_with_decay_grad_projection,2,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,4.069391023743121e-06,1.2999308472621337e-12,3.1944112514074084e-07,6.041412982096799e-22,1.4845987880860055e-16,9.774462723112168e-08,0.023970591916195477,5.687070320333557e-06,1.728408269676016e-06,0.3039189199922961,5.4180599555315356e-06,1.020671038689592e-21,1.883831199851423e-16,5.4233732956663556e-06,9.862942433037847e-08,0.018185992177449796,9.395897675439035e-06,9.395897675439035e-06,5.687070320333557e-06,1.728408269676016e-06,0.3039189199922961,0.18395350070638716,True
sgd_with_decay_grad_projection,2,3,49,torch.float32,1.1920928955078125e-07,5.138758647397377e-06,2.990936883899594e-06,1.2539928749873031e-12,4.1926423848581615e-07,3.9180065984701524e-22,1.3099596382529428e-16,8.988578748100648e-08,0.029948452445531407,4.994676677905528e-06,1.7072960259163194e-06,0.341823132109576,4.693818850009419e-06,8.417684875657189e-22,1.7933552922776933e-16,4.70110148718451e-06,9.004639364252053e-08,0.01915431817160138,9.51334958712569e-06,9.51334958712569e-06,4.994676677905528e-06,1.7072960259163194e-06,0.341823132109576,0.1794631859452305,True
sgd_with_decay_grad_projection,2,4,60,torch.float32,1.1920928955078125e-07,8.425881056896194e-06,3.938910257958481e-06,2.7360668181913094e-12,6.94625325028197e-07,5.730338335876121e-22,1.4548029684858851e-16,1.1359989521861989e-07,0.02876404799146432,6.0577420993596925e-06,2.1496358878129276e-06,0.3548576107325773,5.663506413184459e-06,1.237420737726855e-21,2.1849021568090392e-16,5.6714786519019906e-06,1.1433253125379168e-07,0.020159210370200204,1.0823462786956307e-05,1.0823462786956307e-05,6.0577420993596925e-06,2.1496358878129276e-06,0.3548576107325773,0.19860888609544822,True
sgd_with_decay_grad_projection,2,5,53,torch.float32,1.1920928955078125e-07,5.678672305444112e-06,5.829118862416022e-06,2.1679204743763407e-12,3.7191220929706564e-07,7.849074472161456e-22,1.3465284646655423e-16,9.001401951831511e-08,0.015429415807383584,6.984462968641613e-06,1.6484380774435189e-06,0.23601500714436727,6.7871477709830606e-06,1.0944395814770674e-21,1.6125176854938982e-16,6.791627677229141e-06,9.010757961974816e-08,0.013267449851802005,9.191344332108366e-06,9.191344332108366e-06,6.984462968641613e-06,1.6484380774435189e-06,0.23601500714436727,0.1793467873556849,True
