seed,gate,pass
73411,exact_same_m1_checkpoint,1
73411,matched_seed_and_data_snapshot,1
73411,zero_learner_replay,1
73411,shared_and_original_router_frozen,1
73411,fixed_control_remains_8_cells,1
73411,fixed_control_exposes_capacity_limit,1
73411,growth_is_learner_visible_only,1
73411,growth_occurs_and_is_bounded,1
73411,children_are_reused,1
73411,sparse_compute_survives_growth,1
73411,growth_phase_plasticity,1
73411,growth_absolute_A_retention,0
73411,growth_A_retention_advantage,0
73411,growth_mean_forgetting,0
73411,growth_plasticity_preserved,1
73412,exact_same_m1_checkpoint,1
73412,matched_seed_and_data_snapshot,1
73412,zero_learner_replay,1
73412,shared_and_original_router_frozen,1
73412,fixed_control_remains_8_cells,1
73412,fixed_control_exposes_capacity_limit,1
73412,growth_is_learner_visible_only,1
73412,growth_occurs_and_is_bounded,1
73412,children_are_reused,1
73412,sparse_compute_survives_growth,1
73412,growth_phase_plasticity,1
73412,growth_absolute_A_retention,0
73412,growth_A_retention_advantage,0
73412,growth_mean_forgetting,0
73412,growth_plasticity_preserved,1
73413,exact_same_m1_checkpoint,1
73413,matched_seed_and_data_snapshot,1
73413,zero_learner_replay,1
73413,shared_and_original_router_frozen,1
73413,fixed_control_remains_8_cells,1
73413,fixed_control_exposes_capacity_limit,1
73413,growth_is_learner_visible_only,1
73413,growth_occurs_and_is_bounded,1
73413,children_are_reused,1
73413,sparse_compute_survives_growth,1
73413,growth_phase_plasticity,1
73413,growth_absolute_A_retention,0
73413,growth_A_retention_advantage,0
73413,growth_mean_forgetting,0
73413,growth_plasticity_preserved,1
