seed,gate,pass
74211,exact_same_m1_checkpoint,1
74211,matched_seed_and_data_snapshot,1
74211,bootstrap_precedes_continual_learning,1
74211,bootstrap_does_not_mutate_model_parameters,1
74211,bootstrap_A_is_inaccessible_after_B_start,1
74211,zero_learner_replay_after_continual_start,1
74211,same_frozen_m3_growth_controller,1
74211,shared_query_norm_and_root_keys_frozen,1
74211,control_exposes_lineage_cosine_limit,1
74211,control_growth_occurs_and_is_bounded,1
74211,treatment_growth_occurs_and_is_bounded,1
74211,birth_function_preserving,1
74211,birth_root_ownership_preserved,1
74211,root_route_function_preserved,1
74211,lineage_chain_valid,1
74211,rank32_address_state_bounded,1
74211,address_state_checkpoint_roundtrip,1
74211,affine_gates_created_for_children,1
74211,children_are_reused,1
74211,sparse_compute_survives_growth,1
74211,treatment_phase_plasticity,1
74211,treatment_absolute_A_retention,0
74211,treatment_A_retention_advantage,0
74211,treatment_mean_forgetting,0
74211,treatment_plasticity_preserved,1
74212,exact_same_m1_checkpoint,1
74212,matched_seed_and_data_snapshot,1
74212,bootstrap_precedes_continual_learning,1
74212,bootstrap_does_not_mutate_model_parameters,1
74212,bootstrap_A_is_inaccessible_after_B_start,1
74212,zero_learner_replay_after_continual_start,1
74212,same_frozen_m3_growth_controller,1
74212,shared_query_norm_and_root_keys_frozen,1
74212,control_exposes_lineage_cosine_limit,1
74212,control_growth_occurs_and_is_bounded,1
74212,treatment_growth_occurs_and_is_bounded,1
74212,birth_function_preserving,1
74212,birth_root_ownership_preserved,1
74212,root_route_function_preserved,1
74212,lineage_chain_valid,1
74212,rank32_address_state_bounded,1
74212,address_state_checkpoint_roundtrip,1
74212,affine_gates_created_for_children,1
74212,children_are_reused,1
74212,sparse_compute_survives_growth,1
74212,treatment_phase_plasticity,1
74212,treatment_absolute_A_retention,0
74212,treatment_A_retention_advantage,0
74212,treatment_mean_forgetting,0
74212,treatment_plasticity_preserved,1
74213,exact_same_m1_checkpoint,1
74213,matched_seed_and_data_snapshot,1
74213,bootstrap_precedes_continual_learning,1
74213,bootstrap_does_not_mutate_model_parameters,1
74213,bootstrap_A_is_inaccessible_after_B_start,1
74213,zero_learner_replay_after_continual_start,1
74213,same_frozen_m3_growth_controller,1
74213,shared_query_norm_and_root_keys_frozen,1
74213,control_exposes_lineage_cosine_limit,1
74213,control_growth_occurs_and_is_bounded,1
74213,treatment_growth_occurs_and_is_bounded,1
74213,birth_function_preserving,1
74213,birth_root_ownership_preserved,1
74213,root_route_function_preserved,1
74213,lineage_chain_valid,1
74213,rank32_address_state_bounded,1
74213,address_state_checkpoint_roundtrip,1
74213,affine_gates_created_for_children,1
74213,children_are_reused,1
74213,sparse_compute_survives_growth,1
74213,treatment_phase_plasticity,1
74213,treatment_absolute_A_retention,0
74213,treatment_A_retention_advantage,0
74213,treatment_mean_forgetting,0
74213,treatment_plasticity_preserved,1
