seed,parent_id,child_id,root_id,birth_step,birth_domain,old_samples,birth_domain_samples,valid,current_cosine_auc,query_auc,write_input_auc,write_left_auc,write_pair_auc,certificate_residual_auc
73611,4,8,4,50,B,2048,2048,True,0.5549778570956442,0.9487514045872166,0.9532764888624496,0.8021944609689999,0.9758397779099742,0.8420582986317668
73611,5,9,5,150,B,2048,2048,True,0.47577500165245556,0.9294784850287527,0.9597012360367506,0.768011104501289,0.9708004494679093,0.8612439685372464
73611,2,10,2,250,B,2048,2048,True,0.5069799722387468,0.9346407561636592,0.9474188644325467,0.7237173640029083,0.9661048317800252,0.8595121951219512
73611,6,11,6,350,B,2048,2048,True,0.4933372992266508,0.9294917046731443,0.95694361821667,0.7404428580871174,0.9769766673276489,0.8426161676250908
73611,8,12,4,450,C,2048,2048,True,0.8440531429704541,0.9952858748099677,0.997332275761782,0.8581955185405512,0.9968034899861193,0.9757631039725031
73611,0,13,0,550,C,2048,2048,True,0.5417093000198294,0.9890382708705135,0.9938978121488532,0.7980620001321964,0.9954683059025712,0.9819128825434595
73611,1,14,1,650,C,2048,2048,True,0.6271306761848107,0.9818058034238879,0.9885108070592901,0.7819393218322427,0.9949210126247604,0.9682199748826756
73611,3,15,3,750,C,2048,2048,True,0.5275325533743143,0.9758794368431489,0.9873488003172715,0.7657135303060347,0.9879331085993787,0.9001150109062066
73612,4,8,4,50,B,2048,2048,True,0.5393416617093,0.9377672020622645,0.9522387467777117,0.8119029678101659,0.9641853394143698,0.8189133452310133
73612,5,9,5,150,B,2048,2048,True,0.4700826227774473,0.929050168550466,0.9527450591579086,0.7354802035825236,0.9640029083217662,0.8382100601493819
73612,2,10,2,250,B,2048,2048,True,0.5114019432877256,0.9210655033379602,0.9428078524687686,0.7744543591777381,0.9658721660387336,0.8492061603542864
73612,6,11,6,350,B,2048,2048,True,0.46148456606517285,0.9173415295128561,0.9342825038006478,0.727960869852601,0.9613907065899927,0.8171670302068874
73612,8,12,4,450,C,2048,2048,True,0.8284195915129883,0.9971974353889881,0.9968061339149977,0.8286919161874545,0.9982444312248,0.9821349725692379
73612,0,13,0,550,C,2048,2048,True,0.5247035494745191,0.9929512856104171,0.9951933372992267,0.8134020754841694,0.9973798664815916,0.9854345958093728
73612,1,14,1,650,C,2048,2048,True,0.6251450855971974,0.9876621058893515,0.9939335051887104,0.7957750016524555,0.9951563222949302,0.9785934298367374
73612,3,15,3,750,C,2048,2048,True,0.5293912353757684,0.9841126313702161,0.9915381056249587,0.8042382179919361,0.9917588736862979,0.8849970255800119
73613,4,8,4,50,B,2048,2048,True,0.5430074690990813,0.9088294004891269,0.9407627734813934,0.7712419855905877,0.9598017053341266,0.8175622975741953
73613,5,9,5,150,B,2048,2048,True,0.49428911362284356,0.9040121620728402,0.9416167625090885,0.7154921012624761,0.9618137352105228,0.8222327979377355
73613,2,10,2,250,B,2048,2048,True,0.5134060413774869,0.8880666270077335,0.9307105558860467,0.7586172251966422,0.9500667592041774,0.794993720668914
73613,6,11,6,350,B,2048,2048,True,0.513490647101593,0.9009412386806794,0.9272086720867209,0.7171947914601097,0.9597170996100205,0.7977182893780157
73613,8,12,4,450,C,2048,2048,True,0.8184942825038006,0.9979350915460374,0.997213298962258,0.8581796549672814,0.999045541674929,0.971971709961002
73613,0,13,0,550,C,2048,2048,True,0.5667129354220372,0.9885729393879304,0.9952422499834754,0.7789463943419922,0.9964650670896953,0.9864419327120101
73613,1,14,1,650,C,2048,2048,True,0.594689668847908,0.9830907528587481,0.9901037742084738,0.8171247273448344,0.9926472337894111,0.9668623174036618
73613,3,15,3,750,C,2048,2048,True,0.5336294533677044,0.9768180315949501,0.985589265648754,0.7619062727212638,0.9897230484499967,0.8661484566065173
