seed,gate,pass
73611,exact_same_m1_checkpoint,1
73611,matched_seed_and_data_snapshot,1
73611,zero_learner_replay,1
73611,same_frozen_m3_growth_controller,1
73611,shared_query_norm_and_root_keys_frozen,1
73611,global_control_exposes_m3_read_failure,1
73611,global_growth_occurs_and_is_bounded,1
73611,lineage_growth_occurs_and_is_bounded,1
73611,birth_function_preserving,1
73611,birth_root_ownership_preserved,1
73611,root_route_function_preserved,1
73611,lineage_chain_valid,1
73611,children_are_reused,1
73611,child_read_leakage_reduced,0
73611,children_are_selective,0
73611,sparse_compute_survives_growth,1
73611,lineage_phase_plasticity,1
73611,lineage_absolute_A_retention,0
73611,lineage_A_retention_advantage,0
73611,lineage_mean_forgetting,0
73611,lineage_plasticity_preserved,1
73612,exact_same_m1_checkpoint,1
73612,matched_seed_and_data_snapshot,1
73612,zero_learner_replay,1
73612,same_frozen_m3_growth_controller,1
73612,shared_query_norm_and_root_keys_frozen,1
73612,global_control_exposes_m3_read_failure,1
73612,global_growth_occurs_and_is_bounded,1
73612,lineage_growth_occurs_and_is_bounded,1
73612,birth_function_preserving,1
73612,birth_root_ownership_preserved,1
73612,root_route_function_preserved,1
73612,lineage_chain_valid,1
73612,children_are_reused,1
73612,child_read_leakage_reduced,0
73612,children_are_selective,0
73612,sparse_compute_survives_growth,1
73612,lineage_phase_plasticity,1
73612,lineage_absolute_A_retention,0
73612,lineage_A_retention_advantage,0
73612,lineage_mean_forgetting,0
73612,lineage_plasticity_preserved,1
73613,exact_same_m1_checkpoint,1
73613,matched_seed_and_data_snapshot,1
73613,zero_learner_replay,1
73613,same_frozen_m3_growth_controller,1
73613,shared_query_norm_and_root_keys_frozen,1
73613,global_control_exposes_m3_read_failure,1
73613,global_growth_occurs_and_is_bounded,1
73613,lineage_growth_occurs_and_is_bounded,1
73613,birth_function_preserving,0
73613,birth_root_ownership_preserved,1
73613,root_route_function_preserved,1
73613,lineage_chain_valid,1
73613,children_are_reused,1
73613,child_read_leakage_reduced,0
73613,children_are_selective,0
73613,sparse_compute_survives_growth,1
73613,lineage_phase_plasticity,1
73613,lineage_absolute_A_retention,0
73613,lineage_A_retention_advantage,0
73613,lineage_mean_forgetting,0
73613,lineage_plasticity_preserved,1
