transaction_id,transactions,final_decision,commits,rollbacks,direct_commits,growth_commits,private_reuse_commits,growth_attempts,growth_rescue_rate,acceptance_rate,base_cells,private_cells,total_cells,private_bundles,base_parameters,total_parameters,growth_parameters,parameter_growth_ratio,protected_probes,new_gain,local_regression,global_regression,dependency_coverage,touched_parameter_fraction,structural_escape_rate,false_safe_rate,training_wall_seconds_cumulative,validation_wall_seconds_cumulative,transaction_wall_seconds_cumulative,last_transaction_wall_seconds,math_teacher_forced_answer_exact,story_teacher_forced_answer_exact
0,1,growth-commit,1,0,0,1,0,1,1.0,1.0,64,2,66,1,5273088,5306432,33344,0.006323429459170794,160,0.8764714821911366,0.0,0.0,0.0,0.006283694957364949,0.0,0.0,1.640147898000123,1.133223272000123,3.6184049909998066,3.6184049909998066,,
1,2,growth-commit,2,0,0,2,0,2,1.0,1.0,64,4,68,2,5273088,5339776,66688,0.012646858918341587,192,0.8561879724015115,0.0,0.0,0.0,0.006244456696310857,0.0,0.0,3.285735283000122,2.333823806000055,7.392173270999592,3.7737682799997856,,
2,3,growth-commit,3,0,0,3,0,3,1.0,1.0,64,6,70,3,5273088,5373120,100032,0.01897028837751238,224,0.8667504589844336,0.0,0.0,0.0,0.006205705437436722,0.0,0.0,4.971469393000007,3.6372568580000006,11.246003721999841,3.853830451000249,,
3,4,growth-commit,4,0,0,4,0,4,1.0,1.0,64,8,72,4,5273088,5406464,133376,0.025293717836683174,256,0.9997007718434805,0.0,0.0,0.0,0.006167432170083811,0.0,0.0,6.621536739999556,5.060611155999595,15.21684279100009,3.970839069000249,,
4,5,growth-commit,5,0,0,5,0,5,1.0,1.0,64,10,74,5,5273088,5439808,166720,0.031617147295853965,288,0.9553464431182453,0.0,0.0,0.0,0.006129628104521336,0.0,0.0,8.2455336299995,6.499428048999562,19.18548689699992,3.9686441059998288,,
5,6,growth-commit,6,0,0,6,0,6,1.0,1.0,64,12,76,6,5273088,5473152,200064,0.03794057675502476,320,1.0,0.0,0.0,0.0,0.006092284665216679,0.0,0.0,9.915995720999945,8.051007846999255,23.368599468999946,4.183112572000027,,
6,7,growth-commit,7,0,0,7,0,7,1.0,1.0,64,14,78,7,5273088,5506496,233408,0.04426400621419555,352,0.8836762282495012,0.0,0.0,0.0,0.00605539348435012,0.0,0.0,11.659172212999692,9.657263845998841,27.692521959999794,4.323922490999848,,
7,8,growth-commit,8,0,0,8,0,8,1.0,1.0,64,16,80,8,5273088,5539840,266752,0.05058743567336635,384,1.0,0.0,0.0,0.0,0.006018946395563771,0.0,0.0,13.28624599099976,11.367213247998734,32.06345424199981,4.3709322820000125,,
8,9,growth-commit,9,0,0,9,0,9,1.0,1.0,64,18,82,9,5273088,5573184,300096,0.05691086513253714,416,0.9160946097515236,0.0,0.0,0.0,0.0059829354279349115,0.0,0.0,14.925787627999853,13.154455787998359,36.518989535999935,4.4555352940001285,,
9,10,growth-commit,10,0,0,10,0,10,1.0,1.0,64,20,84,10,5273088,5606528,333440,0.06323429459170793,448,1.0,0.0,0.0,0.0,0.00594735280016438,0.0,0.0,16.56413082600011,15.064370648998647,41.15140537199977,4.632415835999836,,
10,11,growth-commit,11,0,0,11,0,11,1.0,1.0,64,22,86,11,5273088,5639872,366784,0.06955772405087872,480,0.9365520574621663,0.0,0.0,0.0,0.00591219091497112,0.0,0.0,18.222651928000687,17.02107778499885,45.86398374500004,4.7125783730002695,,
11,12,growth-commit,12,0,0,12,0,12,1.0,1.0,64,24,88,12,5273088,5673216,400128,0.07588115351004952,512,0.9493013751016732,0.0,0.0,0.0,0.0058774423536844,0.0,0.0,19.87669793800069,19.073932694998803,50.7122242749997,4.848240529999657,,
12,13,growth-commit,13,0,0,13,0,13,1.0,1.0,64,26,90,13,5273088,5706560,433472,0.08220458296922031,544,0.833363297657047,0.0,0.0,0.0,0.005843099871025627,0.0,0.0,21.57730963800077,21.204853022998577,55.714429118999306,5.002204843999607,,
13,14,growth-commit,14,0,0,14,0,14,1.0,1.0,64,28,92,14,5273088,5739904,466816,0.0885280124283911,576,0.9999959557988792,0.0,0.0,0.0,0.005809156390072029,0.0,0.0,23.209482033000768,23.434177608998198,60.87391230499952,5.159483186000216,,
14,15,growth-commit,15,0,0,15,0,15,1.0,1.0,64,30,94,15,5273088,5773248,500160,0.0948514418875619,608,0.8067371819044903,0.0,0.0,0.0,0.00577560499739488,0.0,0.0,24.914306718000717,25.69586418599829,66.07765734199984,5.203745037000317,,
15,16,growth-commit,16,0,0,16,0,16,1.0,1.0,64,32,96,16,5273088,5806592,533504,0.1011748713467327,640,0.9392547232223204,0.0,0.0,0.0,0.005742438938365224,0.0,0.0,26.53352824800095,28.178092082998774,71.49789638099992,5.42023903900008,0.90625,0.984375
16,17,growth-commit,17,0,0,17,0,17,1.0,1.0,64,34,98,17,5273088,5839936,566848,0.10749830080590349,672,0.904833484348253,0.0,0.0,0.0,0.005709651612620412,0.0,0.0,28.24794792700095,30.671358796998902,77.01037104299985,5.512474661999931,,
17,18,growth-commit,18,0,0,18,0,18,1.0,1.0,64,36,100,18,5273088,5873280,600192,0.11382173026507428,704,0.9025775796057813,0.0,0.0,0.0,0.0056772365696850825,0.0,0.0,29.932503954000822,33.27043292799908,82.61920514199983,5.608834098999978,,
18,19,growth-commit,19,0,0,19,0,19,1.0,1.0,64,38,102,19,5273088,5906624,633536,0.12014515972424507,736,0.9202748830329169,0.0,0.0,0.0,0.005645187504740441,0.0,0.0,31.637967618000857,35.96238586699974,88.48688531800008,5.867680176000249,,
19,20,growth-commit,20,0,0,20,0,20,1.0,1.0,64,40,104,20,5273088,5939968,666880,0.12646858918341586,768,0.9999999987245531,0.0,0.0,0.0,0.005613498254536052,0.0,0.0,33.291301011000996,38.749898024999766,94.329455521,5.842570202999923,,
20,21,growth-commit,21,0,0,21,0,21,1.0,1.0,64,42,106,21,5273088,5973312,700224,0.13279201864258666,800,0.7123225640125259,0.0,0.0,0.0,0.005582162793438548,0.0,0.0,34.998088550001285,41.55495707,100.28469664099975,5.955241119999755,,
21,22,growth-commit,22,0,0,22,0,22,1.0,1.0,64,44,108,22,5273088,6006656,733568,0.13911544810175744,832,0.9964244542237731,0.0,0.0,0.0,0.00555117522961195,0.0,0.0,36.64689185100087,44.54033170499997,106.42961053399995,6.144913893000194,,
22,23,growth-commit,23,0,0,23,0,23,1.0,1.0,64,46,110,23,5273088,6040000,766912,0.14543887756092824,864,0.6986257423461948,0.0,0.0,0.0,0.005520529801324503,0.0,0.0,38.40577471400093,47.52300239899978,112.77762870200013,6.348018168000181,,
23,24,growth-commit,24,0,0,24,0,24,1.0,1.0,64,48,112,24,5273088,6073344,800256,0.15176230702009905,896,0.6582917758580857,0.0,0.0,0.0,0.005490220873377171,0.0,0.0,40.03273893100095,50.63292938999939,119.01257031000023,6.234941608000099,,
24,25,rollback,24,1,0,24,0,24,1.0,0.96,64,48,112,24,5273088,6073344,800256,0.15176230702009905,896,0.5258020823674928,0.20167562080863868,0.005040719113840636,0.03571428571428571,0.005490220873377171,0.0,0.0,41.17783958300106,52.2484472659994,122.04082886700007,3.0282585569998446,,
