transaction_id,transactions,final_decision,commits,rollbacks,direct_commits,growth_commits,private_reuse_commits,growth_attempts,growth_rescue_rate,acceptance_rate,base_cells,private_cells,total_cells,private_bundles,base_parameters,total_parameters,growth_parameters,parameter_growth_ratio,protected_probes,new_gain,local_regression,global_regression,dependency_coverage,touched_parameter_fraction,structural_escape_rate,false_safe_rate,training_wall_seconds_cumulative,validation_wall_seconds_cumulative,transaction_wall_seconds_cumulative,last_transaction_wall_seconds,math_teacher_forced_answer_exact,story_teacher_forced_answer_exact
0,1,growth-commit,1,0,0,1,0,1,1.0,1.0,64,2,66,1,5273088,5306432,33344,0.006323429459170794,160,0.9484697061152911,0.0,0.0,0.0,0.006283694957364949,0.0,0.0,1.5071207339988177,1.128153774000566,3.4241139100004148,3.4241139100004148,,
1,2,growth-commit,2,0,0,2,0,2,1.0,1.0,64,4,68,2,5273088,5339776,66688,0.012646858918341587,192,0.16643426927423652,0.0,0.0,0.0,0.006244456696310857,0.0,0.0,3.026206065000224,2.2910671360004926,6.908373422000295,3.4842595119998805,,
2,3,growth-commit,3,0,0,3,0,3,1.0,1.0,64,6,70,3,5273088,5373120,100032,0.01897028837751238,224,0.912148027973657,0.0,0.0,0.0,0.006205705437436722,0.0,0.0,4.576196349000384,3.5085751410006196,10.47847098300008,3.570097560999784,,
3,4,growth-commit,4,0,0,4,0,4,1.0,1.0,64,8,72,4,5273088,5406464,133376,0.025293717836683174,256,0.10886887927151011,0.0,0.0,0.0,0.006167432170083811,0.0,0.0,6.122157629000867,4.834477610000249,14.190139143000124,3.7116681600000447,,
4,5,growth-commit,5,0,0,5,0,5,1.0,1.0,64,10,74,5,5273088,5439808,166720,0.031617147295853965,288,0.9113433311605531,0.0,0.0,0.0,0.006129628104521336,0.0,0.0,7.65152515400132,6.2204047999994145,17.99139283600016,3.801253693000035,,
5,6,growth-commit,6,0,0,6,0,6,1.0,1.0,64,12,76,6,5273088,5473152,200064,0.03794057675502476,320,0.9258098757233658,0.0,0.0,0.0,0.006092284665216679,0.0,0.0,9.166330937001476,7.678678616999605,21.953879390999646,3.9624865549994865,,
6,7,growth-commit,7,0,0,7,0,7,1.0,1.0,64,14,78,7,5273088,5506496,233408,0.04426400621419555,352,0.8146668504832292,0.0,0.0,0.0,0.00605539348435012,0.0,0.0,10.731566759001907,9.251451399999496,26.023730220998914,4.069850829999268,,
7,8,growth-commit,8,0,0,8,0,8,1.0,1.0,64,16,80,8,5273088,5539840,266752,0.05058743567336635,384,0.12166249424231462,0.0,0.0,0.0,0.006018946395563771,0.0,0.0,12.274950031001936,10.906704224999885,30.185256304998802,4.161526083999888,,
8,9,growth-commit,9,0,0,9,0,9,1.0,1.0,64,18,82,9,5273088,5573184,300096,0.05691086513253714,416,0.8815232033293561,0.0,0.0,0.0,0.0059829354279349115,0.0,0.0,13.807636495002043,12.596955093999895,34.37328144099865,4.188025135999851,,
9,10,rollback,9,1,0,9,0,10,0.9,0.9,64,18,82,9,5273088,5573184,300096,0.05691086513253714,416,-0.16417952017725246,0.0,0.0,0.0,0.00594735280016438,0.0,0.0,15.328896307001742,14.379029053999147,38.628492617998745,4.255211177000092,,
10,11,growth-commit,10,1,0,10,0,11,0.9090909090909091,0.9090909090909091,64,20,84,10,5273088,5606528,333440,0.06323429459170793,448,0.9023756836700852,0.0,0.0,0.0,0.00594735280016438,0.0,0.0,16.825945876001242,16.16032338599871,42.92032813099922,4.291835513000478,,
11,12,growth-commit,11,1,0,11,0,12,0.9166666666666666,0.9166666666666666,64,22,86,11,5273088,5639872,366784,0.06955772405087872,480,0.8417568156027815,0.0,0.0,0.0,0.00591219091497112,0.0,0.0,18.34662648700214,17.965029828998922,47.29223312999966,4.371904999000435,,
12,13,growth-commit,12,1,0,12,0,13,0.9230769230769231,0.9230769230769231,64,24,88,12,5273088,5673216,400128,0.07588115351004952,512,0.8046821551688551,0.0,0.0,0.0,0.0058774423536844,0.0,0.0,20.00101428600192,19.983076092999,52.20311771999968,4.910884590000023,,
