transaction_id,transactions,final_decision,commits,rollbacks,direct_commits,growth_commits,private_reuse_commits,growth_attempts,growth_rescue_rate,acceptance_rate,base_cells,private_cells,total_cells,private_bundles,base_parameters,total_parameters,growth_parameters,parameter_growth_ratio,protected_probes,new_gain,local_regression,global_regression,dependency_coverage,touched_parameter_fraction,structural_escape_rate,false_safe_rate,training_wall_seconds_cumulative,validation_wall_seconds_cumulative,transaction_wall_seconds_cumulative,last_transaction_wall_seconds,math_teacher_forced_answer_exact,story_teacher_forced_answer_exact
0,1,growth-commit,1,0,0,1,0,1,1.0,1.0,64,2,66,1,5273088,5306432,33344,0.006323429459170794,160,0.1918667834799365,0.0,0.0,0.0,0.006283694957364949,0.0,0.0,1.5300869079999302,1.0911003469998377,3.466188066000086,3.466188066000086,,
1,2,growth-commit,2,0,0,2,0,2,1.0,1.0,64,4,68,2,5273088,5339776,66688,0.012646858918341587,192,0.6616018465907441,0.0,0.0,0.0,0.006244456696310857,0.0,0.0,3.042146708999894,2.257171239999934,6.951126085000055,3.4849380189999692,,
2,3,direct-commit,3,0,1,2,0,2,1.0,1.0,64,4,68,2,5273088,5339776,66688,0.012646858918341587,224,0.22338012731034554,-0.03296415493122952,-0.0027638180980606784,0.125,0.012488913392621714,0.0,0.0,3.5585980159999053,2.8655388369999173,8.403095314000097,1.451969229000042,,
3,4,rollback,3,1,1,2,0,3,0.6666666666666666,0.75,64,4,68,2,5273088,5339776,66688,0.012646858918341587,224,-0.13698016986439013,0.0,0.0,0.0,0.006205705437436722,0.0,0.0,5.0821763949999195,4.207486802999938,12.035877689000017,3.6327823749999197,,
4,5,direct-commit,4,1,2,2,0,3,0.6666666666666666,0.8,64,4,68,2,5273088,5339776,66688,0.012646858918341587,256,0.37269924793829273,-0.09779695357447316,-0.0419570105064899,0.29017857142857145,0.012488913392621714,0.0,0.0,5.591664213999934,4.872990340000001,13.532041769999978,1.4961640809999608,,
5,6,rollback,4,2,2,2,0,4,0.5,0.6666666666666666,64,4,68,2,5273088,5339776,66688,0.012646858918341587,256,-0.2660948040506675,0.0,0.0,0.0,0.006205705437436722,0.0,0.0,7.121588310999982,6.219683768999971,17.269433999000057,3.737392229000079,,
6,7,direct-commit,5,2,3,2,0,4,0.5,0.7142857142857143,64,4,68,2,5273088,5339776,66688,0.012646858918341587,288,0.3923629106669194,-0.16104978557213645,-0.05552387334529778,0.2265625,0.012488913392621714,0.0,0.0,7.644524784000055,6.906483033999962,18.804158002000122,1.5347240030000648,,
7,8,growth-commit,6,2,3,3,0,5,0.6,0.75,64,6,70,3,5273088,5373120,100032,0.01897028837751238,320,0.163955501728389,0.0,0.0,0.0,0.006205705437436722,0.0,0.0,9.158267440000031,8.364885971999911,22.68048582600011,3.8763278239999863,,
8,9,growth-commit,7,2,3,4,0,6,0.6666666666666666,0.7777777777777778,64,8,72,4,5273088,5406464,133376,0.025293717836683174,352,0.6275018499734456,0.0,0.0,0.0,0.006167432170083811,0.0,0.0,10.674095442999942,9.913669131999882,26.66525379000018,3.9847679640000706,,
9,10,growth-commit,8,2,3,5,0,7,0.7142857142857143,0.8,64,10,74,5,5273088,5439808,166720,0.031617147295853965,384,0.9279229532829174,0.0,0.0,0.0,0.006129628104521336,0.0,0.0,12.19835010600002,11.522770453999897,30.736356644000125,4.071102853999946,,
10,11,growth-commit,9,2,3,6,0,8,0.75,0.8181818181818182,64,12,76,6,5273088,5473152,200064,0.03794057675502476,416,0.5891395369946195,0.0,0.0,0.0,0.006092284665216679,0.0,0.0,13.721186852000073,13.200293387999864,34.90896448100011,4.172607836999987,,
