transactions,commits,global_regression,new_gain,training_wall_seconds_cumulative,math_teacher_forced_answer_exact,story_teacher_forced_answer_exact
1,1,9.607129172379873,-0.5451087871120859,0.5508632979999675,,
2,2,4.044776408040566,0.9999999218400916,1.1000337210000453,,
3,3,-0.8045519932019778,0.9424413229238704,1.6619130050000877,,
4,4,6.287871299578314,0.8723541021268353,2.2299771870002587,,
5,5,-0.7019685205319098,0.9774074343547292,2.7922253970002657,,
6,6,2.1969669004113697,0.9999950490236631,3.3590743820002444,,
7,7,-0.6725950363731674,0.9113974316095741,3.9248432770002637,,
8,8,2.406220465606789,0.242162257561577,4.482830575000435,,
9,9,-0.5461614358629853,0.9777789082555146,5.0391290510006,,
10,10,0.6835067879702216,0.5962486756344032,5.600078621000421,,
11,11,-0.2959631895309187,0.9488423261078465,6.158944465000559,,
12,12,0.37806960567114617,0.9173691550686867,6.760013208000601,,
13,13,-0.577853720338197,0.9176376037685843,7.333228646000407,,
14,14,2.7116404801395175,0.5367996255123452,7.899134412000421,,
15,15,-0.6787197110084211,0.9254251713452845,8.482095905000506,,
16,16,1.349840058270105,0.7499094965302654,9.038109823000468,0.0,0.0
17,17,-0.3700402280603578,0.9219410230580942,9.616015735000474,,
18,18,0.7841453544527998,0.8746947044917638,10.186014782000484,,
19,19,-0.554084836080209,0.9075800488336915,10.761031791000505,,
20,20,0.9775164409196093,0.8843277483155279,11.324631774000636,,
21,21,-0.4007029299531275,0.8767245652311967,11.903049547000592,,
22,22,0.33118787863686633,0.9676640244708604,12.489438681000593,,
23,23,-0.3012653749719526,0.8143866555809385,13.075142801000538,,
24,24,1.6058375258686128,0.9102437449260041,13.638261211000554,,
25,25,-0.5602136919268177,0.9079169155254858,14.19957041000066,,
26,26,2.0034949814036933,0.5566906691480111,14.759596397000678,,
27,27,-0.6232463072803044,0.9171832584042752,15.325659007000695,,
28,28,0.32790880533774713,0.8600725288595303,15.880740079000589,,
29,29,0.023849227251240456,0.806150048036807,16.45620957000051,,
30,30,0.6657340307875437,0.413156121978656,17.024553643000445,,
31,31,-0.40141113141666435,0.8884670939256025,17.621479298000395,,
32,32,0.6106659631290048,0.8940598472511496,18.1778539430004,0.0,0.0
33,33,-0.10581524905708876,0.9341417648904217,18.73174721000032,,
34,34,0.6717355371775634,0.9983199047526286,19.30058880100046,,
35,35,-0.3587077364870722,0.9444631542232237,19.850376420000657,,
36,36,0.04679505194617519,0.9752393522387388,20.406346141000768,,
37,37,-0.3930137963969911,0.8615461410013675,20.97705447700082,,
38,38,0.503705451496613,0.8735792242572221,21.538787672001035,,
39,39,-0.25151259862267317,0.799172536718816,22.143950894001136,,
40,40,0.7020651849932745,0.9966503849494293,22.704148177001343,,
41,41,-0.2818968578314522,0.8837650965569367,23.28719123800147,,
42,42,0.06943470643334425,0.7838021106810106,23.853955472001417,,
43,43,-0.23407117283310808,0.7806490375063182,24.436662384001465,,
44,44,0.42132441504543633,0.7603730818816061,25.007803009001464,,
45,45,-0.31269901817395557,0.8393541384458022,25.59944384200162,,
46,46,0.14692917057219096,0.985187455152091,26.16406991100166,,
47,47,-0.20121413202232943,0.6706774126517803,26.759354486001484,,
48,48,0.6969919281642661,0.9366980987266474,27.32240285100147,0.0,0.0
49,49,-0.2768162572251894,0.8208002897653169,27.89379863700151,,
50,50,1.284245848410476,0.8299772534870323,28.466933109001502,,
51,51,-0.5460156778204921,0.890924832534161,29.031385510001428,,
52,52,0.8676852767724795,0.7898727848539886,29.59566254500146,,
53,53,-0.41306242389020603,0.8965598876239234,30.19999380800141,,
54,54,0.2533337082333748,0.9537064488087076,30.7609203660013,,
55,55,-0.0924507082235988,0.827646946216675,31.33449032000135,,
56,56,0.6016331113324175,0.9999933281819473,31.89098315900128,,
57,57,-0.028365969924627605,0.9031499353660437,32.44510886100147,,
58,58,0.0370472401590866,0.9905922119977185,33.00619290000145,,
